Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
10000,1.5870725,0.012475635,0.2111349,0.03967267,0.10123338,0.0002996986,0.19989952,0.009989962,0.0984666,1.5824616,499.0,-2.3449998825090006,-2.3449998825090006,5.909597430378199,1.0
20000,1.5189835,-0.11511387,0.829471,0.015842902,0.107881844,0.00029915827,0.19971943,0.009971971,0.07721772,1.4005158,499.0,-1.2699999865144491,-1.2699999865144491,8.883153078348741,1.0
30000,1.4445771,-0.1456788,1.2663084,0.0085140355,0.1067122,0.00029855888,0.1995196,0.009952011,0.0792143,1.1968677,499.0,-0.7935294416897437,-0.7935294416897437,8.955297477105084,1.0
40000,1.276378,-0.13111122,1.5705003,0.009554921,0.10220323,0.00029795826,0.1993194,0.0099320095,0.08706839,0.971039,499.0,-1.0152173439121766,-1.0152173439121766,9.540711993756501,1.0
50000,1.1585395,-0.1633141,1.6451817,0.008673263,0.099273846,0.00029735887,0.19911961,0.009912049,0.08584897,0.782097,499.0,-0.8652939349412918,-0.8652939349412918,9.159827505840974,1.0
60000,1.1503583,-0.2740061,1.7774658,0.008617747,0.10121177,0.00029675825,0.19891943,0.009892051,0.091085,0.7295961,499.0,-0.6860868924337885,-0.6860868924337885,9.825159207634304,1.0
70000,1.0352213,-0.17300367,1.8362812,0.009543255,0.09984775,0.0002961589,0.19871962,0.009872089,0.09003178,0.6283665,499.0,-0.3252941317418042,-0.3252941317418042,10.094254977562848,1.0
80000,0.9776013,-0.14513728,1.8737503,0.0070599667,0.10005303,0.00029555825,0.19851942,0.009852091,0.09567719,0.5824925,499.0,-0.474347823501929,-0.474347823501929,10.804900231568709,1.0
90000,0.9585848,-0.21287568,1.995826,0.0073833466,0.10153171,0.00029495888,0.19831963,0.009832129,0.092011295,0.54356956,499.0,-0.9564705160172546,-0.9564705160172546,10.309118509292603,1.0
100000,0.92380595,-0.22517982,1.8127785,0.010965857,0.10572016,0.00029435827,0.19811943,0.00981213,0.07895839,0.46818122,499.0,-0.743913004093844,-0.743913004093844,8.564619349396747,1.0
110000,0.9054979,-0.19901359,1.7312901,0.008750251,0.09746617,0.00029375887,0.19791962,0.00979217,0.07609453,0.51578945,499.0,-1.0782350696048097,-1.0782350696048097,8.536648231394151,1.0
120000,0.9085643,-0.31873223,1.6442261,0.0077075167,0.09021044,0.0002931583,0.19771942,0.00977217,0.069509305,0.5063132,499.0,-0.6239129061932149,-0.6239129061932149,7.67024631863055,1.0
130000,0.90347946,-0.22765228,1.5115057,0.005114856,0.10238594,0.00029255886,0.19751962,0.009752209,0.06593649,0.5681675,499.0,-0.21647056663299308,-0.21647056663299308,7.318757334176232,1.0
140000,0.9106831,-0.28102463,1.3818575,0.0069617517,0.09996499,0.00029195828,0.19731943,0.009732209,0.0626767,0.52110565,499.0,-0.27999993114043836,-0.27999993114043836,6.846010301424109,1.0
150000,0.8918239,-0.25129393,1.4025242,0.005571334,0.10526331,0.00029135888,0.19711962,0.009712249,0.063143596,0.61486703,499.0,-0.03588234830428572,-0.03588234830428572,6.890737130361445,1.0
160000,0.9176303,-0.25054792,1.3386791,0.004990208,0.09984444,0.0002907583,0.19691943,0.00969225,0.06034308,0.52728266,499.0,0.17695651916058167,0.17695651916058167,6.578630364459494,1.0
170000,0.8869718,-0.19066651,1.3128952,0.0044918205,0.09824668,0.00029015887,0.19671962,0.009672289,0.061183207,0.6056508,499.0,0.15294118992546024,0.15294118992546024,6.752670736873851,1.0
180000,0.92721486,-0.20913033,1.4042232,0.0039141183,0.10793848,0.0002895583,0.19651942,0.00965229,0.0667658,0.6363677,499.0,0.13130433922228607,0.13130433922228607,7.04345006528108,1.0
190000,0.84047306,-0.08348123,1.4204321,0.0033947825,0.10709067,0.00028895886,0.19631961,0.0096323285,0.063410446,0.5904664,499.0,0.5358823456746691,0.5358823456746691,6.891218388781828,1.0
200000,0.8134253,-0.06752105,1.3495132,0.15155292,0.096929744,0.00028832024,0.19610673,0.009611064,0.061472364,0.56778073,449.8076923076923,1.257384657358321,1.257384657358321,5.868290420764914,1.0
210000,0.77521074,0.0071770367,1.3264204,0.1278831,0.101256475,0.00028769916,0.19589972,0.009590382,0.06421842,0.5248937,440.8421052631579,1.740611096844077,1.740611096844077,5.953471832391289,1.0
220000,0.7793278,-0.025025694,1.324727,0.07965613,0.09967312,0.0002871168,0.19570561,0.009570988,0.061692365,0.5232605,472.1666666666667,0.9681600046902895,0.9681600046902895,6.2487069265544415,1.0
