Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.5915328,-0.06814481,832.3333333333334,0.013274513,0.31315488,0.0002998174,0.19993912,0.009993916,-2.555054124444723,-2.555054124444723,1.0
20000,1.5508666,-0.14852148,832.3333333333334,0.0050192857,0.405723,0.00029953275,0.19984427,0.009984439,-1.5104328765689086,-1.5104328765689086,1.0
30000,1.5226077,-0.199966,832.3333333333334,0.014092967,0.3811309,0.00029924617,0.19974872,0.009974898,-2.0954328066824623,-2.0954328066824623,1.0
40000,1.4804214,-0.18127047,832.3333333333334,0.005608342,0.43978423,0.00029896156,0.19965386,0.00996542,-1.1637660930864513,-1.1637660930864513,1.0
50000,1.4334911,-0.16137123,832.3333333333334,0.004961675,0.3814003,0.00029867506,0.19955835,0.009955879,-0.9687660803707937,-0.9687660803707937,1.0
60000,1.3555243,-0.17348823,832.3333333333334,0.010429205,0.38707095,0.0002983593,0.19945309,0.009945363,-1.05043283275639,-1.05043283275639,1.0
70000,1.3150803,-0.19112578,832.3333333333334,0.01676621,0.40100166,0.00029804622,0.19934876,0.009934938,-0.7804326138769587,-0.7804326138769587,1.0
80000,1.2467867,-0.20023282,832.3333333333334,0.007351416,0.40371868,0.00029776158,0.19925383,0.0099254595,-0.6987659642472863,-0.6987659642472863,1.0
90000,1.2606331,-0.21251558,832.3333333333334,0.0076882383,0.37930292,0.00029747508,0.19915836,0.009915918,-0.38876598747447133,-0.38876598747447133,1.0
100000,1.2345922,-0.15389305,832.3333333333334,0.0059738653,0.3393686,0.0002971539,0.19905129,0.009905225,-0.06793276934574048,-0.06793276934574048,1.0
110000,1.2056147,-0.14764765,832.3333333333334,0.0073688123,0.37644565,0.00029683273,0.19894426,0.009894528,0.25290049783264595,0.25290049783264595,1.0
120000,1.2033702,-0.15320277,832.3333333333334,0.05836329,0.40086114,0.0002965462,0.19884872,0.009884988,-3.0637661282283566,-3.0637661282283566,1.0
130000,1.1475683,-0.12562728,832.3333333333334,0.0148203,0.3185343,0.00029626157,0.19875385,0.009875509,-0.9879328878596425,-0.9879328878596425,1.0
140000,1.0212878,-0.11557514,832.3333333333334,0.0065487153,0.34276286,0.00029597507,0.19865836,0.009865969,0.26873386884108186,0.26873386884108186,1.0
150000,0.9679147,-0.09046919,832.3333333333334,0.0050046956,0.32677525,0.00029565388,0.19855128,0.009855273,0.4720672133068244,0.4720672133068244,1.0
160000,0.9429005,-0.053103175,832.3333333333334,0.0062455735,0.3442735,0.00029533275,0.19844426,0.009844579,0.28790038141111535,0.28790038141111535,1.0
170000,0.87399936,-0.015575181,832.3333333333334,0.006336202,0.32536602,0.0002950462,0.1983487,0.009835037,0.808733799494803,0.808733799494803,1.0
180000,0.8479095,0.0031607782,832.3333333333334,0.007308107,0.33719313,0.00029476156,0.19825387,0.009825559,0.8145671567569176,0.8145671567569176,1.0
190000,0.8826182,0.028128417,832.3333333333334,0.0075414944,0.29302675,0.00029447506,0.19815835,0.009816018,0.7270671833927432,0.7270671833927432,1.0
200000,0.8646425,0.00024477835,832.3333333333334,0.0045441194,0.2623896,0.0002941539,0.1980513,0.0098053245,0.897067135044684,0.897067135044684,1.0
210000,0.886233,0.0024504128,832.3333333333334,0.0033075826,0.31705856,0.00029383274,0.19794424,0.009794629,1.094567069162925,1.094567069162925,1.0
220000,0.99043775,0.0075947186,832.3333333333334,0.0033538686,0.32505828,0.0002935462,0.19784874,0.009785088,0.642900364783903,0.642900364783903,1.0
230000,0.99439013,-0.031935833,832.3333333333334,0.003961534,0.33480763,0.00029326155,0.19775385,0.009775608,0.6429004833723108,0.6429004833723108,1.0
240000,0.993174,-0.05977025,832.3333333333334,0.0036495938,0.37229142,0.00029294853,0.1976495,0.009765185,0.6245671200255553,0.6245671200255553,1.0
250000,1.0421864,-0.033638533,832.3333333333334,0.0038929635,0.3898751,0.00029263276,0.19754426,0.009754669,0.7487337603233755,0.7487337603233755,1.0
260000,1.0095267,-0.022074256,832.3333333333334,0.0041509485,0.2898642,0.00029234623,0.19744873,0.009745129,0.7920670850823323,0.7920670850823323,1.0
270000,0.9337798,-0.001495756,832.3333333333334,0.00605545,0.36634517,0.0002920616,0.19735384,0.009735649,0.9495670907199383,0.9495670907199383,1.0
280000,0.9609139,0.017372217,832.3333333333334,0.0027116782,0.31988448,0.00029177504,0.19725837,0.009726109,0.8195670635129014,0.8195670635129014,1.0
290000,0.9579316,-0.027810307,832.3333333333334,0.0019045796,0.37492958,0.00029145388,0.19715129,0.009715414,0.925400381985431,0.925400381985431,1.0
300000,1.0089414,-0.03432296,832.3333333333334,0.0037002093,0.31404722,0.00029113275,0.19704425,0.00970472,0.8520670525419215,0.8520670525419215,1.0
310000,1.0496987,0.028327104,832.3333333333334,0.0075454097,0.29793134,0.00029084622,0.1969487,0.009695178,0.8904003716694812,0.8904003716694812,1.0
320000,1.0008987,0.018935326,832.3333333333334,0.005807522,0.35403165,0.00029056155,0.19685388,0.009685699,0.7737337173894048,0.7737337173894048,1.0
330000,0.931533,0.04446534,832.3333333333334,0.0038060502,0.36710256,0.0002902751,0.19675836,0.009676158,1.035400445573032,1.035400445573032,1.0
340000,0.947543,0.05303372,832.3333333333334,0.005024822,0.3116445,0.00028995392,0.19665131,0.009665465,0.9312336513151726,0.9312336513151726,1.0
350000,0.9499317,0.04474583,832.3333333333334,0.0051126075,0.3493994,0.00028963276,0.19654423,0.00965477,0.9579003580535451,0.9579003580535451,1.0
360000,0.97230494,0.04252841,832.3333333333334,0.0030125072,0.3787575,0.0002893462,0.19644874,0.009645229,0.9887337156881889,0.9887337156881889,1.0
370000,0.9646326,0.016227,832.3333333333334,0.0025736915,0.34350926,0.00028906157,0.19635385,0.009635749,0.6420670117562016,0.6420670117562016,1.0
380000,0.9689703,0.011021663,832.3333333333334,0.0031352825,0.36315465,0.00028877505,0.19625834,0.009626209,0.856233610616376,0.856233610616376,1.0
390000,0.95068306,0.05004365,832.3333333333334,0.0058717346,0.32905984,0.00028845388,0.1961513,0.009615514,0.7237336498995622,0.7237336498995622,1.0
400000,1.0149819,0.045686383,832.3333333333334,0.0032171952,0.32641992,0.00028813275,0.19604424,0.00960482,0.7762336564871172,0.7762336564871172,1.0
410000,1.0177503,0.06765681,832.3333333333334,0.0048440276,0.3483454,0.0002878462,0.19594875,0.009595278,0.8545669422795376,0.8545669422795376,1.0
420000,0.9700832,0.08334755,832.3333333333334,0.003872267,0.32955283,0.00028756156,0.19585386,0.009585799,0.9995669831211368,0.9995669831211368,1.0
430000,0.9841776,0.08474304,832.3333333333334,0.0032604856,0.31772766,0.00028727506,0.19575837,0.009576259,1.0970669857536752,1.0970669857536752,1.0
440000,0.9529335,0.06525849,832.3333333333334,0.0036588374,0.35004234,0.0002869539,0.19565128,0.009565565,0.8370670028962195,0.8370670028962195,1.0
450000,0.9630346,0.044894595,832.3333333333334,0.0033244123,0.29845923,0.00028663274,0.19554426,0.009554869,0.6720670003754398,0.6720670003754398,1.0
