Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
20000,1.5671988,-0.017445454,0.109062165,0.07350168,0.00029931526,0.19977176,0.0049886103,697.9642857142857,0.46280031747716877,0.46280031747716877,1.0
40000,1.4072751,0.3991116,0.45401996,0.071550034,0.00029816575,0.19938858,0.0049694898,245.3855421686747,5.126290251432759,5.126290251432759,1.0
60000,1.1612618,1.6429193,0.92834634,0.07358026,0.00029696658,0.19898884,0.0049495436,105.63101604278074,5.743562756057957,5.743562756057957,1.0
80000,0.9645312,2.8415852,0.77929425,0.06960075,0.00029578045,0.19859347,0.004929814,79.172,5.919063368297919,5.919063368297919,1.0
100000,0.8325539,3.395673,0.8752388,0.07400091,0.00029458018,0.19819339,0.0049098497,68.36332179930795,6.092482992703301,6.092482992703301,1.0
120000,0.7450931,3.648046,0.8324851,0.0693314,0.00029338498,0.19779499,0.00488997,62.422222222222224,6.225523137219161,6.225523137219161,1.0
140000,0.66040736,3.948125,0.95994127,0.07203914,0.0002921972,0.19739905,0.0048702126,60.09907120743034,6.482664806794887,6.482664806794887,1.0
160000,0.6523493,3.8212426,0.8254092,0.066412166,0.00029100536,0.19700177,0.004850389,72.33823529411765,6.385012631010956,6.385012631010956,1.0
180000,0.5852238,3.843504,0.91400397,0.07178496,0.00028981248,0.19660416,0.0048305467,72.94525547445255,6.796444650487906,6.796444650487906,1.0
200000,0.49295858,4.3055797,1.1309768,0.066825524,0.00028856428,0.19618808,0.004809785,59.43975903614458,6.879954740363581,6.879954740363581,1.0
220000,0.509099,4.3996377,1.1750915,0.071421586,0.00028737137,0.19579047,0.0047899433,53.655367231638415,6.629251434200701,6.629251434200701,1.0
240000,0.573896,4.1507063,0.877962,0.06927782,0.0002861851,0.19539502,0.0047702114,71.70070422535211,6.705202826682452,6.705202826682452,1.0
260000,0.49117735,4.259252,1.0619799,0.07305901,0.00028500071,0.19500023,0.0047505116,57.41348973607038,6.476741529728847,6.476741529728847,1.0
280000,0.5196269,4.2283316,1.1085165,0.07082316,0.00028381063,0.19460353,0.004730717,60.14596273291925,6.513812571529711,6.513812571529711,1.0
300000,0.53258705,4.221765,1.1092592,0.07055331,0.00028262055,0.19420685,0.004710921,66.45033112582782,7.030723319337271,7.030723319337271,1.0
320000,0.51716083,4.2007284,1.0703717,0.068946354,0.00028142193,0.19380729,0.0046909843,67.79794520547945,6.983729325870174,6.983729325870174,1.0
340000,0.4300794,4.6418147,1.3403206,0.068898946,0.0002802232,0.19340771,0.0046710456,53.40163934426229,6.77236953425178,6.77236953425178,1.0
360000,0.445601,4.518826,1.3338982,0.06518717,0.00027903676,0.19301227,0.004651312,59.38080495356037,6.633828018692498,6.633828018692498,1.0
380000,0.4786983,4.5354266,1.2904676,0.072115764,0.00027778372,0.19259456,0.004630469,57.95402298850575,6.483790904397932,6.483790904397932,1.0
400000,0.48455152,4.5449605,1.2003981,0.07008899,0.0002765979,0.19219929,0.0046107443,64.84210526315789,7.095771314443003,7.095771314443003,1.0
420000,0.46642265,4.5959506,1.2451632,0.06985007,0.00027540448,0.1918015,0.004590894,63.22115384615385,6.871016256192561,6.871016256192561,1.0
440000,0.5054992,4.4329166,1.1933484,0.06646836,0.00027421603,0.19140534,0.0045711263,66.05594405594405,6.794898774064556,6.794898774064556,1.0
460000,0.43318444,4.8112926,1.3598151,0.06989788,0.00027302734,0.1910091,0.004551354,65.51298701298701,7.226551110882608,7.226551110882608,1.0
480000,0.39772245,4.7745385,1.402694,0.067759946,0.00027176517,0.19058838,0.00453036,64.93506493506493,7.087943597913625,7.087943597913625,1.0
500000,0.43671483,4.683905,1.3609113,0.07327718,0.000270574,0.19019133,0.0045105475,66.4795918367347,6.985996852610672,6.985996852610672,1.0
520000,0.42026374,4.5074034,1.1626168,0.07025861,0.00026937723,0.18979238,0.004490641,76.43650793650794,7.226835136985583,7.226835136985583,1.0
540000,0.4003962,4.8609037,1.5595969,0.06929478,0.00026818097,0.18939365,0.0044707432,55.895604395604394,6.609465468985554,6.609465468985554,1.0
560000,0.41093108,4.5934787,1.3866581,0.073582426,0.00026698105,0.18899368,0.0044507845,58.44753086419753,6.511828524426629,6.511828524426629,1.0
