Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.5881039,-0.17465611,499.0,0.017342169,0.33775192,0.00029991526,0.19997174,0.009997176,-1.7283332595187757,-1.7283332595187757,1.0
20000,1.519397,-0.18426904,499.0,0.003524871,0.3244233,0.00029978022,0.19992675,0.0099926805,-0.7533333808597591,-0.7533333808597591,1.0
30000,1.3736415,-0.10711296,499.0,0.007126624,0.37405926,0.0002996283,0.1998761,0.009987621,-0.21913048268660254,-0.21913048268660254,1.0
40000,1.2834836,-0.05171898,499.0,0.010851179,0.38506573,0.0002994765,0.19982547,0.009982565,-0.06368415136086314,-0.06368415136086314,1.0
50000,1.2212651,-0.10899951,499.0,0.012513118,0.3618942,0.0002993246,0.19977488,0.009977507,0.15222225265784395,0.15222225265784395,1.0
60000,1.1647602,-0.13743505,499.0,0.00848018,0.350901,0.00029917274,0.19972423,0.009972451,-0.051739068944817,-0.051739068944817,1.0
70000,1.0942882,-0.11604097,499.0,0.013023498,0.37500983,0.00029902087,0.19967362,0.009967394,0.9357894533558896,0.9357894533558896,1.0
80000,1.0477962,-0.026108041,499.0,0.012700158,0.38073686,0.00029886898,0.199623,0.009962337,0.31666671194963986,0.31666671194963986,1.0
90000,0.97193086,-0.06411145,499.0,0.012541344,0.43355292,0.00029873397,0.19957799,0.009957841,0.2847826986209206,0.2847826986209206,1.0
100000,0.8964191,-0.002073483,499.0,0.01040419,0.40904838,0.0002985822,0.1995274,0.009952786,0.557894766330719,0.557894766330719,1.0
110000,0.86595887,-0.11162901,499.0,0.013481202,0.4143297,0.00029843024,0.19947675,0.0099477265,0.42611113335523343,0.42611113335523343,1.0
120000,0.8060997,-0.018529933,499.0,0.01506459,0.4037184,0.00029827826,0.19942611,0.009942667,1.532608661800623,1.532608661800623,1.0
130000,0.7731755,0.13929838,499.0,0.013995024,0.39472938,0.0002981265,0.19937551,0.0099376105,1.588947355747223,1.588947355747223,1.0
140000,0.7785073,0.056580085,499.0,0.016015496,0.36962977,0.0002979746,0.19932486,0.009932553,0.8944445037179523,0.8944445037179523,1.0
150000,0.77490926,0.07282673,499.0,0.013442932,0.4126949,0.00029782273,0.19927421,0.009927496,1.3852174043979333,1.3852174043979333,1.0
160000,0.73833805,0.14007342,499.0,0.015993373,0.37351033,0.00029767086,0.19922364,0.00992244,1.4105263201421814,1.4105263201421814,1.0
170000,0.74315685,0.16826555,499.0,0.011411098,0.3830171,0.00029751897,0.19917299,0.009917382,1.320555550667147,1.320555550667147,1.0
180000,0.7240069,0.19925115,499.0,0.015669808,0.36561704,0.00029738396,0.19912802,0.009912886,2.2365216688941354,2.2365216688941354,1.0
190000,0.70321524,0.24343939,499.0,0.016336603,0.37541577,0.00029723215,0.19907737,0.009907831,1.8710526175012714,1.8710526175012714,1.0
200000,0.73311204,0.23774996,499.0,0.012320749,0.3416681,0.00029708026,0.19902676,0.009902772,1.8755555492308404,1.8755555492308404,1.0
210000,0.7619733,0.25885653,490.7083333333333,0.025147576,0.348389,0.0002969285,0.19897617,0.009897719,1.8250554787615936,1.8250554787615936,1.0
220000,0.75397563,0.40270615,499.0,0.012743621,0.38067433,0.0002967776,0.19892588,0.009892693,2.4774999343272714,2.4774999343272714,1.0
230000,0.8079443,0.31544456,499.0,0.0120103005,0.36993104,0.0002966257,0.19887523,0.009887635,1.6908772016238225,1.6908772016238225,1.0
240000,0.80947924,0.32095838,499.0,0.012824355,0.39881977,0.00029647385,0.19882463,0.009882579,1.801521678900589,1.801521678900589,1.0
250000,0.8150736,0.38359296,499.0,0.019128013,0.3589366,0.000296322,0.19877401,0.009877521,2.1008332226839332,2.1008332226839332,1.0
260000,0.7727235,0.35692012,498.3333333333333,0.0242792,0.355999,0.00029617012,0.19872336,0.009872465,2.4757367630342118,2.4757367630342118,1.0
270000,0.6984842,0.37224603,499.0,0.010685714,0.3968746,0.0002960185,0.19867282,0.009867414,2.291304295963567,2.291304295963567,1.0
280000,0.660664,0.3967988,499.0,0.017611975,0.36606902,0.00029586695,0.1986223,0.009862369,2.144444393201007,2.144444393201007,1.0
290000,0.67311853,0.40372258,489.6111111111111,0.034718256,0.36647055,0.0002957311,0.19857705,0.009857845,2.1312104404756895,2.1312104404756895,1.0
300000,0.6485293,0.38750443,496.0,0.025957042,0.3667056,0.00029557923,0.1985264,0.0098527875,2.2895217110281405,2.2895217110281405,1.0
