Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
10000,1.5918386,-0.07216526,0.2699696,499.0,0.040641636,0.3436209,0.00029988697,0.19996233,0.009996235,0.16576241,1.5992537,-1.7394443742103047,-1.7394443742103047,8.209776613447401,1.0
20000,1.5561938,-0.1593098,0.8879113,499.0,0.011892249,0.3070999,0.00029970697,0.19990233,0.009990241,0.055596728,1.5652088,-1.1416666525312595,-1.1416666525312595,5.9738984405994415,1.0
30000,1.5159587,-0.18856557,1.0798285,499.0,0.008745247,0.31573778,0.00029950438,0.19983478,0.009983493,0.056216825,1.5092033,-0.4591304081613603,-0.4591304081613603,5.872129974157914,1.0
40000,1.4515804,-0.15092936,1.1849778,488.55555555555554,0.020024035,0.33008325,0.00029930295,0.19976766,0.0099767875,0.0664276,1.3362904,-0.009859635151530566,-0.009859635151530566,6.553410097172386,1.0
50000,1.4133283,-0.01719532,1.3149093,476.625,0.041368075,0.3632512,0.00029910315,0.19970104,0.009970133,0.071241096,1.2109947,0.48418187434700405,0.48418187434700405,7.013881992210042,1.0
60000,1.3737843,-0.022662612,1.3308214,493.1578947368421,0.0186131,0.34183112,0.00029889026,0.19963008,0.009963045,0.06325914,1.1002955,0.20445005097426475,0.20445005097426475,6.631110889464617,1.0
70000,1.3000947,0.0127193015,1.3093483,491.94736842105266,0.014378524,0.35167795,0.00029870003,0.19956668,0.00995671,0.06134635,1.0256131,0.5427168238908052,0.5427168238908052,6.274631577730179,1.0
80000,1.2569828,0.075027384,1.287092,477.3181818181818,0.031913407,0.30691305,0.00029850958,0.1995032,0.009950368,0.06297319,0.9527561,0.5348888974459398,0.5348888974459398,6.177561421479497,1.0
90000,1.2129308,0.123044714,1.3164442,492.5,0.032934457,0.3038163,0.0002982985,0.19943282,0.009943338,0.060937792,0.90767366,1.1804921015919674,1.1804921015919674,6.3242882660457065,1.0
100000,1.179571,0.2367849,1.2755166,493.6818181818182,0.027806988,0.31179062,0.000298086,0.199362,0.009936263,0.05878367,0.8728436,1.576055591719018,1.576055591719018,5.922899845573637,1.0
110000,1.1262002,0.28776053,1.2727729,453.94736842105266,0.07902706,0.33030343,0.00029789546,0.1992985,0.009929919,0.05991797,0.79462713,2.0854349994308152,2.0854349994308152,5.703148765732413,1.0
120000,1.1054118,0.32470796,1.2200762,463.3181818181818,0.076713905,0.3198437,0.00029770972,0.19923659,0.009923733,0.054659955,0.8108827,2.365317698213316,2.365317698213316,5.1937636669193,1.0
130000,1.0492394,0.42969877,1.1896603,437.1666666666667,0.07810601,0.2876829,0.00029750215,0.19916739,0.009916821,0.052236922,0.75087667,3.0140909129245714,3.0140909129245714,4.65848788077181,1.0
140000,1.0220582,0.3867583,1.1604275,455.8695652173913,0.044525925,0.3102002,0.0002972941,0.19909804,0.009909893,0.05218494,0.71881056,1.7829334264248609,1.7829334264248609,4.921389956474304,1.0
150000,1.0494335,0.571802,1.1128744,395.1904761904762,0.15156932,0.3757402,0.00029710605,0.19903535,0.009903632,0.05117703,0.7457481,3.8169395229779184,3.8169395229779184,4.179241213947535,1.0
160000,1.026678,0.7095379,1.0661291,437.16,0.113045454,0.31249875,0.00029691154,0.19897048,0.009897153,0.0503788,0.7206001,3.7149861588453255,3.7149861588453255,4.533059353629748,1.0
170000,0.96487796,0.7233011,1.0255971,416.2307692307692,0.11520995,0.28566906,0.00029669938,0.19889978,0.009890089,0.048828356,0.68071127,4.256898632516032,4.256898632516032,4.2543380934259165,1.0
180000,1.0152345,0.75152886,1.0239216,389.5925925925926,0.098542444,0.29044157,0.0002964942,0.19883141,0.009883257,0.04889015,0.72598374,3.3399630934258715,3.3399630934258715,3.9481618449229887,1.0
190000,0.99694973,0.7609153,1.052868,401.125,0.12668934,0.32591996,0.0002962877,0.19876255,0.00987638,0.051692836,0.707945,4.105933559089899,4.105933559089899,4.1723799633979795,1.0
200000,0.9930185,0.7342342,1.0609102,378.5769230769231,0.10414033,0.30861747,0.00029609815,0.1986994,0.009870067,0.050139092,0.6879907,3.8370555855023363,3.8370555855023363,3.971842484238247,1.0
210000,0.9386413,0.8114984,1.0298896,346.0967741935484,0.17740352,0.35795408,0.00029589544,0.1986318,0.009863317,0.04852541,0.6569151,5.092140055111339,5.092140055111339,3.5018901549760373,1.0
220000,0.93320256,0.962957,1.0063409,346.0357142857143,0.179582,0.33203256,0.0002956842,0.19856137,0.009856282,0.047662064,0.6707851,4.636287640523294,4.636287640523294,3.2132681114920256,1.0
230000,0.92662656,0.9391257,0.9893829,267.8235294117647,0.18826681,0.36091217,0.0002954962,0.19849874,0.009850023,0.047675207,0.6452891,5.074426047400468,5.074426047400468,2.878445725163652,1.0
240000,0.90179914,0.94981253,1.0341446,351.73333333333335,0.24608965,0.37015373,0.0002953013,0.19843376,0.009843532,0.050418116,0.6176287,5.3900120338158946,5.3900120338158946,3.5431272696171487,1.0
250000,0.89785,0.9394819,1.0449886,332.3333333333333,0.21641406,0.32222325,0.00029509564,0.19836523,0.009836684,0.04863177,0.6176156,4.964276281988313,4.964276281988313,3.4212409519943696,1.0
260000,0.93146306,0.90844023,1.0869479,312.1515151515151,0.22371046,0.41828734,0.00029488766,0.19829588,0.009829758,0.049164988,0.6309036,5.947545546417435,5.947545546417435,3.0552621951157395,1.0
270000,0.9410891,0.9332298,1.0267367,325.58620689655174,0.24228601,0.3727965,0.00029468763,0.19822921,0.009823098,0.045327384,0.6459364,6.375010967014298,6.375010967014298,3.0791918741118525,1.0
280000,0.9525757,1.0536784,1.0454334,292.8285714285714,0.26878062,0.3861061,0.0002944885,0.19816282,0.009816466,0.04805607,0.66510856,6.2718727506478045,6.2718727506478045,2.786077720058315,1.0
