Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
10000,1.5890455,-0.0727926,0.34300697,499.0,0.039817303,0.38225642,0.00029991526,0.19997174,0.009997176,0.17251858,1.5984831,-1.5099999950163894,-1.5099999950163894,9.17978149652481,1.0
20000,1.5265071,-0.2685203,0.9484903,499.0,0.0086837225,0.33044446,0.00029978022,0.19992675,0.0099926805,0.06588102,1.5305828,-1.3311111023520223,-1.3311111023520223,6.7680914004643755,1.0
30000,1.4864314,-0.32023853,1.1671307,499.0,0.008786062,0.3400732,0.0002996283,0.1998761,0.009987621,0.07349308,1.4125345,-1.0147825718411934,-1.0147825718411934,7.591309791025908,1.0
40000,1.4173442,-0.3360571,1.30107,499.0,0.0072445725,0.344822,0.0002994765,0.19982547,0.009982565,0.0758837,1.210395,-0.7805263032940658,-0.7805263032940658,7.852367978346975,1.0
50000,1.3444139,-0.28227094,1.4889389,499.0,0.0075009377,0.37180677,0.0002993246,0.19977488,0.009977507,0.08178636,1.0754452,-0.3138888527949651,-0.3138888527949651,8.63654660516315,1.0
60000,1.3201548,-0.24889798,1.588267,499.0,0.007253407,0.33592135,0.00029917274,0.19972423,0.009972451,0.07848318,1.0315597,-0.5626086326235015,-0.5626086326235015,8.323276804841083,1.0
70000,1.2298083,-0.20602289,1.5602617,499.0,0.007096348,0.37515062,0.00029902087,0.19967362,0.009967394,0.07811201,0.90951985,-0.08631577538816552,-0.08631577538816552,8.009480670878762,1.0
80000,1.1650515,-0.15187575,1.5630157,499.0,0.0078107957,0.3636482,0.00029886898,0.199623,0.009962337,0.07585175,0.85608274,0.020555591728124354,0.020555591728124354,7.971999665101369,1.0
90000,1.1100599,-0.2189273,1.571549,499.0,0.015956473,0.34896418,0.00029873397,0.19957799,0.009957841,0.07535897,0.78920174,-0.1743477080827174,-0.1743477080827174,7.652646422386169,1.0
100000,1.120252,-0.14192116,1.5282454,494.72222222222223,0.013983299,0.35890943,0.00029858286,0.19952764,0.009952809,0.07185896,0.7970313,-0.034754331517768536,-0.034754331517768536,7.472454231036337,1.0
110000,1.0830724,-0.098154426,1.4718457,499.0,0.0069985325,0.38202035,0.00029843138,0.1994771,0.009947764,0.06828359,0.7715161,0.30744446627795696,0.30744446627795696,7.002579251925151,1.0
120000,1.0327537,-0.072615065,1.4336933,499.0,0.009339152,0.38721827,0.00029827826,0.19942608,0.009942666,0.06794576,0.71492594,0.05688896945988139,0.05688896945988139,7.06560521821181,1.0
