Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.5914177,-0.1528135,499.0,0.016454827,0.33123586,0.00029988697,0.19996233,0.009996235,-1.6861110541762576,-1.6861110541762576,1.0
20000,1.5417092,-0.22718029,499.0,0.004258093,0.36750716,0.00029970697,0.19990233,0.009990241,-0.8027778377549516,-0.8027778377549516,1.0
30000,1.4564914,-0.2174993,499.0,0.004820259,0.30768,0.00029950438,0.19983478,0.009983493,-0.3965217914108349,-0.3965217914108349,1.0
40000,1.3377105,-0.110212825,499.0,0.015866969,0.36543757,0.000299302,0.19976732,0.009976756,-0.864210410729835,-0.864210410729835,1.0
50000,1.2521032,-0.17342666,499.0,0.0081823785,0.3800773,0.00029909943,0.19969983,0.009970011,-0.230555502904786,-0.230555502904786,1.0
60000,1.2060028,-0.24767272,499.0,0.024976421,0.3548826,0.00029889698,0.19963233,0.009963268,-0.6460868802083575,-0.6460868802083575,1.0
70000,1.1481869,-0.20604274,499.0,0.009457039,0.31086788,0.0002986945,0.19956484,0.009956527,-0.04421048336907437,-0.04421048336907437,1.0
80000,1.1286412,-0.24855971,499.0,0.0074277464,0.30690104,0.00029849194,0.19949734,0.009949782,0.07166665585504638,0.07166665585504638,1.0
90000,1.0645983,-0.25418964,499.0,0.015529133,0.38775098,0.000298312,0.19943734,0.009943787,0.2708695843491865,0.2708695843491865,1.0
100000,1.0440106,-0.20429912,499.0,0.007999011,0.33113137,0.00029810955,0.19936986,0.00993705,0.35631576670627846,0.35631576670627846,1.0
110000,1.0263579,-0.2060775,499.0,0.008383239,0.33014852,0.00029790698,0.1993023,0.0099303005,0.3744444532526864,0.3744444532526864,1.0
120000,1.0156412,-0.14553027,499.0,0.0123022795,0.3275592,0.0002977044,0.19923478,0.009923555,0.5391304196546907,0.5391304196546907,1.0
130000,0.9231311,-0.051715545,499.0,0.007715171,0.27992848,0.00029750197,0.19916731,0.009916814,0.4873683840820664,0.4873683840820664,1.0
140000,0.924745,-0.07807106,499.0,0.0065732016,0.3490295,0.0002972994,0.19909981,0.009910071,0.6088888201241692,0.6088888201241692,1.0
150000,0.9277555,-0.14613822,499.0,0.0058869766,0.34770554,0.000297097,0.19903232,0.009903327,0.601304314220729,0.601304314220729,1.0
160000,0.88131404,-0.036569215,499.0,0.005692461,0.34341678,0.00029689452,0.19896483,0.0098965885,0.8036841367812533,0.8036841367812533,1.0
170000,0.9446054,-0.08658413,499.0,0.005087329,0.34914207,0.00029669196,0.19889732,0.009889841,0.9494443544083171,0.9494443544083171,1.0
180000,0.92486185,-0.0656742,499.0,0.0056780353,0.34930217,0.00029651198,0.19883735,0.009883849,1.0360868691426257,1.0360868691426257,1.0
190000,0.8912903,-0.003701669,499.0,0.00479523,0.34752235,0.0002963096,0.19876987,0.009877107,0.8563157293553415,0.8563157293553415,1.0
200000,0.9513356,-0.028083831,499.0,0.0032111518,0.29261625,0.00029610697,0.19870234,0.009870363,1.1111110377435882,1.1111110377435882,1.0
210000,0.8828901,-0.05790497,499.0,0.005141806,0.31037182,0.00029590438,0.19863477,0.009863613,0.8943477443054967,0.8943477443054967,1.0
220000,0.8876245,0.012891975,499.0,0.0048710275,0.32757795,0.00029570202,0.1985673,0.009856876,1.0194736089753478,1.0194736089753478,1.0
230000,0.91762227,0.008894457,499.0,0.00583784,0.3239923,0.00029549943,0.19849983,0.00985013,0.9944443721324205,0.9944443721324205,1.0
240000,0.89592993,0.0038518235,499.0,0.018241204,0.34040967,0.00029529695,0.1984323,0.0098433895,0.7973913192425085,0.7973913192425085,1.0
250000,0.8869471,0.08818563,499.0,0.0044211885,0.28662935,0.0002950945,0.19836482,0.009836646,1.0199999185769182,1.0199999185769182,1.0
260000,0.8748173,0.011423036,499.0,0.0064108768,0.3243454,0.000294892,0.19829734,0.009829903,1.0033332823465269,1.0033332823465269,1.0
270000,0.88566816,-0.016195629,499.0,0.0045683444,0.29593644,0.00029471196,0.19823733,0.009823907,1.2195651233196259,1.2195651233196259,1.0
280000,0.87148887,0.03554664,499.0,0.0044517545,0.3268594,0.0002945096,0.19816987,0.00981717,0.8942104832906472,0.8942104832906472,1.0
290000,0.88277316,-0.014942934,499.0,0.0036532625,0.27335885,0.000294307,0.19810234,0.009810422,1.07388882442481,1.07388882442481,1.0
300000,0.8261434,-0.051319934,499.0,0.0036221049,0.28006583,0.00029410433,0.1980348,0.009803674,1.1443477221157239,1.1443477221157239,1.0
310000,0.813153,0.084315404,499.0,0.0059615485,0.32251072,0.00029390198,0.19796732,0.009796934,1.1989473098594892,1.1989473098594892,1.0
320000,0.89508694,0.021537462,499.0,0.0035030977,0.37648264,0.00029369944,0.1978998,0.0097901905,0.9816665638031231,0.9816665638031231,1.0
330000,0.87874645,-0.035719592,499.0,0.007874185,0.26691598,0.00029349697,0.19783232,0.009783449,0.7786955656888692,0.7786955656888692,1.0
340000,0.8080609,0.011497374,499.0,0.0033151745,0.29587165,0.0002932945,0.19776483,0.009776707,1.2005262329782311,1.2005262329782311,1.0
350000,0.8332841,0.0016073495,499.0,0.0055544213,0.34240326,0.000293092,0.19769731,0.009769961,1.2005554781191878,1.2005554781191878,1.0
