Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
20000,1.5472295,0.18344545,0.757179,0.07364185,0.07125954,0.00029935906,0.19978637,0.0049893386,0.101941034,1.544137,565.7878787878788,1.4985214538209028,1.4985214538209028,7.645206419116056,1.0
40000,1.3480625,0.75216454,1.3061085,0.25446528,0.07104781,0.00029819107,0.19939703,0.0049699107,0.068245515,1.308731,269.72727272727275,5.531429041832636,5.531429041832636,3.7808928188230646,1.0
60000,1.1199611,1.9420059,1.377175,0.39968255,0.070969254,0.00029699138,0.19899711,0.004949956,0.068214715,1.0523243,157.890625,6.910734455766942,6.910734455766942,2.3070222040987574,1.0
80000,0.91537595,2.7007222,1.3862859,0.4485621,0.07434806,0.0002957928,0.1985976,0.00493002,0.06841559,0.8402401,112.28089887640449,7.034969801266986,7.034969801266986,1.5931772125487247,1.0
100000,0.787241,3.2581508,1.3631694,0.48772213,0.068768084,0.00029459546,0.19819848,0.004910104,0.06347024,0.7127607,93.81951219512194,7.516486035254443,7.516486035254443,1.2494187242101604,1.0
120000,0.6683327,3.3271852,1.3494575,0.44456315,0.07142846,0.0002934026,0.19780089,0.004890263,0.06609818,0.5865921,126.4472049689441,7.85237057050343,7.85237057050343,1.732559847697523,1.0
140000,0.56829756,3.398399,1.3604747,0.40418768,0.07364918,0.00029220962,0.19740319,0.0048704194,0.06412477,0.48604333,130.77333333333334,8.6304944432541,8.6304944432541,1.7253016133157426,1.0
160000,0.55528325,2.9535117,1.3146465,0.35708135,0.071209446,0.00029101275,0.19700424,0.0048505114,0.06315598,0.47026387,150.63358778625954,7.907826332334529,7.907826332334529,1.9731193207033717,1.0
180000,0.4598983,3.3281672,1.317147,0.44334787,0.06540152,0.0002898086,0.19660288,0.0048304833,0.064104564,0.39685774,129.28662420382165,8.689472357432793,8.689472357432793,1.7128114304505289,1.0
200000,0.4982309,3.4087937,1.2485698,0.4366339,0.0712827,0.00028860322,0.19620107,0.004810433,0.058464736,0.43684202,121.87261146496816,8.054372489271108,8.054372489271108,1.505258339115336,1.0
220000,0.43482256,3.5285683,1.1946399,0.42382002,0.06759796,0.000287406,0.19580199,0.004790519,0.05635716,0.37619218,123.37106918238993,8.359611734501877,8.359611734501877,1.436112172081598,1.0
240000,0.4239377,4.0815344,1.1561744,0.47785053,0.06929125,0.00028619744,0.19539914,0.0047704168,0.05619837,0.35807782,92.25446428571429,8.258584206529179,8.258584206529179,1.0764446677222448,1.0
