Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.5704107,0.028754193,0.009853545,0.10076241,0.00029991256,0.19997084,0.009997087,814.25,-0.2271166785309712,-0.2271166785309712,1.0
20000,1.4970307,0.0053380886,0.009082304,0.096532516,0.00029976293,0.199921,0.009992106,832.4166666666666,-0.0824667252600193,-0.0824667252600193,1.0
30000,1.5244427,-0.031129893,0.0027903523,0.098157346,0.00029961293,0.19987097,0.00998711,832.0833333333334,-0.6658999926100174,-0.6658999926100174,1.0
40000,1.5131137,-0.0130182775,0.008961422,0.09401769,0.00029946296,0.199821,0.009982116,832.5,0.08444997357825439,0.08444997357825439,1.0
50000,1.417685,-0.0004278467,0.010682129,0.10202356,0.00029931293,0.19977097,0.00997712,832.4166666666666,0.08438330764571826,0.08438330764571826,1.0
60000,1.2589726,0.06190253,0.016111204,0.10125488,0.00029916296,0.19972098,0.009972125,832.0833333333334,0.9184332719693581,0.9184332719693581,1.0
70000,1.1699265,0.098732606,0.017478982,0.1023022,0.00029901296,0.19967099,0.009967131,832.5,1.0015665522466104,1.0015665522466104,1.0
80000,1.1107498,0.14631335,0.01759706,0.10352333,0.000298863,0.19962098,0.009962136,832.4166666666666,0.9182832011332115,0.9182832011332115,1.0
90000,1.0823145,0.14463598,0.018826703,0.10129124,0.00029871293,0.199571,0.009957139,832.0833333333334,1.0019998575250308,1.0019998575250308,1.0
100000,1.1727792,0.16759193,0.018709542,0.09629863,0.00029856293,0.19952098,0.009952145,832.5,1.085283175110817,1.085283175110817,1.0
110000,1.1149261,0.17114761,0.017966509,0.097888775,0.00029841295,0.199471,0.009947151,832.4166666666666,1.1683831916501124,1.1683831916501124,1.0
120000,0.9588768,0.12654455,0.019160021,0.10008975,0.00029826336,0.19942114,0.009942168,802.6666666666666,1.2872830635557573,1.2872830635557573,1.0
130000,0.9671015,0.08353678,0.017502522,0.098629005,0.00029811313,0.19937105,0.009937167,823.9166666666666,1.0954331544538338,1.0954331544538338,1.0
140000,1.0341716,0.09832785,0.02969768,0.10458852,0.00029796286,0.19932093,0.009932161,744.5714285714286,1.6790712273546629,1.6790712273546629,1.0
150000,0.97626656,0.1921622,0.020043837,0.097806916,0.0002978212,0.19927372,0.009927445,832.0833333333334,1.5020831904063623,1.5020831904063623,1.0
160000,0.8910307,0.21033731,0.03166916,0.1094675,0.00029767462,0.19922486,0.009922565,756.3846153846154,2.2479535112014184,2.2479535112014184,1.0
170000,0.93366736,0.21694756,0.027720338,0.08836651,0.00029751286,0.19917095,0.009917177,763.6153846153846,2.2388765880694756,2.2388765880694756,1.0
180000,1.0467206,0.27548516,0.017841872,0.10438739,0.00029736332,0.1991211,0.009912198,832.0833333333334,1.168899729847908,1.168899729847908,1.0
190000,1.0105627,0.21672928,0.020466877,0.10077914,0.0002972133,0.1990711,0.009907203,832.5,1.918966455385089,1.918966455385089,1.0
200000,0.8996252,0.25095212,0.025792604,0.09411243,0.00029706323,0.19902109,0.009902204,795.6923076923077,2.179433032249411,2.179433032249411,1.0
210000,0.9396139,0.26786742,0.031290494,0.10295751,0.00029691347,0.19897115,0.009897218,803.0833333333334,2.4539843161518755,2.4539843161518755,1.0
220000,0.9930007,0.30137274,0.032960713,0.098977685,0.00029676827,0.19892278,0.009892384,667.6666666666666,2.333426409106081,2.333426409106081,1.0
230000,0.91827065,0.36770934,0.058486003,0.09617639,0.00029662228,0.19887407,0.00988752,627.8,3.9822263362196586,3.9822263362196586,1.0
240000,0.9423455,0.45707527,0.044809315,0.10029048,0.00029647496,0.198825,0.009882615,693.5,2.955342555485134,2.955342555485134,1.0
250000,0.9547984,0.44251722,0.04327157,0.10072921,0.0002963281,0.19877604,0.0098777255,720.0,3.338066382178416,3.338066382178416,1.0
260000,0.9930429,0.6126437,0.048447218,0.106769465,0.00029617187,0.19872394,0.009872522,591.4375,3.980174689524574,3.980174689524574,1.0
270000,0.9213358,0.5980529,0.04725238,0.09536144,0.00029602463,0.19867489,0.00986762,687.3333333333334,3.5105330189379553,3.5105330189379553,1.0
280000,0.8815157,0.5284795,0.04017083,0.103297375,0.0002958809,0.19862697,0.009862834,688.5714285714286,3.6759997781898295,3.6759997781898295,1.0
290000,0.88943017,0.7689657,0.09161438,0.10185149,0.00029572885,0.19857629,0.00985777,358.39285714285717,4.5726425898693766,4.5726425898693766,1.0
300000,0.8659753,0.81562656,0.058908265,0.09919193,0.00029557088,0.19852364,0.00985251,631.9333333333333,4.978359380100543,4.978359380100543,1.0
310000,0.9358729,0.7368591,0.07138185,0.10129776,0.00029542213,0.19847403,0.009847555,548.05,4.445299761404749,4.445299761404749,1.0
320000,0.9150999,0.80175704,0.07146325,0.10255089,0.0002952742,0.19842473,0.00984263,469.1904761904762,5.344542503711724,5.344542503711724,1.0
