Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
10000,1.3092624,-0.039727956,2.075085,31.729815,0.108944856,0.00029992216,0.19997405,0.009997408,1.5155491,0.38905653,0.62478966,0.22782147,832.5,-0.9996363121000204,-0.9996363121000204,348.26534409956497,1.0
20000,1.0680524,-0.15029211,9.571265,15.973452,0.09981276,0.0002997741,0.1999247,0.009992477,1.0475771,0.35953006,0.6352622,0.19996408,778.5833333333334,-0.6321999596861693,-0.6321999596861693,338.24936059805066,1.0
30000,0.7798395,-0.09356368,14.316038,23.462769,0.109751575,0.00029961456,0.19987154,0.009987165,1.0075608,0.3478837,0.65298223,0.15552284,739.3571428571429,-0.17344279640487262,-0.17344279640487262,367.95878204277585,1.0
40000,0.41627333,-0.017103132,19.004879,10.612754,0.10278355,0.00029946648,0.19982216,0.009982234,0.93841267,0.32414508,0.68025106,0.08715692,775.2307692307693,-0.8191499561071396,-0.8191499561071396,344.4727319876353,1.0
50000,0.31270432,-0.05355789,23.585705,12.499699,0.1015692,0.00029932402,0.19977468,0.00997749,0.78366655,0.26162544,0.73612994,0.05180331,832.4545454545455,-0.7724499646574259,-0.7724499646574259,284.71319603919983,1.0
60000,0.17094028,-0.07754449,27.487778,12.388876,0.09970869,0.00029917795,0.199726,0.009972625,0.6615259,0.2113286,0.78296834,0.04004947,832.25,-0.9995332825928926,-0.9995332825928926,267.3392354249954,1.0
70000,0.18988545,-0.0451051,31.0576,33.159702,0.10620609,0.00029902422,0.19967476,0.009967507,0.63936394,0.18850403,0.77717984,0.034765247,832.3333333333334,-0.9995332825928926,-0.9995332825928926,344.74217426776886,1.0
80000,0.21850297,0.01429484,34.604797,29.051323,0.101409495,0.00029887297,0.19962433,0.009962469,0.5649272,0.15872937,0.7966784,0.038959496,731.3846153846154,-0.4166307435729183,-0.4166307435729183,272.5346888578855,1.0
90000,0.14955005,-0.022024931,36.56318,30.519135,0.09771433,0.00029872532,0.1995751,0.009957554,0.45090315,0.124925375,0.8397055,0.031134775,817.2307692307693,-0.8275999466960247,-0.8275999466960247,309.32863770998443,1.0
100000,0.27534568,-0.101208106,39.500652,27.193237,0.11551564,0.00029857727,0.19952576,0.009952623,0.5465368,0.1720776,0.8107836,0.08149071,832.4166666666666,-0.9994999505579472,-0.9994999505579472,335.99922347068787,1.0
110000,0.13029028,-0.10300039,38.68974,20.304901,0.106425904,0.0002984291,0.19947638,0.009947689,0.35719463,0.1060009,0.88094616,0.012001266909970177,832.4166666666666,-0.9995999503880739,-0.9995999503880739,239.90640563579896,1.0
120000,0.30754137,-0.1421345,39.238598,24.852755,0.10303699,0.0002982809,0.19942698,0.009942754,0.4295376,0.13285734,0.8589752,0.0,832.1666666666666,-0.9993999507278204,-0.9993999507278204,288.4779024918874,1.0
130000,0.38673085,-0.13948353,39.446175,27.798016,0.100611344,0.00029812468,0.19937491,0.009937553,0.4483737,0.14685073,0.8558343,0.0,832.4166666666666,-0.9994999505579472,-0.9994999505579472,316.2327911555767,1.0
140000,0.45819542,-0.14235124,40.109444,24.86592,0.11350438,0.00029796813,0.1993227,0.009932337,0.4211597,0.14688653,0.8702434,0.0,832.4166666666666,-0.9995999503880739,-0.9995999503880739,311.77844769507647,1.0
