Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Is Training
10000,1.5867817,-0.019895282,0.33158216,0.90537775,499.0,6.2330623,0.42448026,0.00029988697,0.19996233,0.009996235,0.19267492,1.6031882,3.4516907,0.2940978,0.71268785,0.2487005,-2.3011109720294676,-2.3011109720294676,10.082181579536861,106.85015816158719,1.0
20000,1.4920893,-0.20922866,0.9833292,4.5051394,499.0,7.0470023,0.4891206,0.00029969556,0.19989854,0.0099898605,0.061864577,1.5546888,1.3378744,0.27997786,0.72807395,0.19728886,-1.399999937715216,-1.399999937715216,6.967315279775196,141.78213824166193,1.0
30000,1.365732,-0.19784947,1.0350413,7.5502825,469.94736842105266,10.360249,0.45062876,0.0002995006,0.19983354,0.009983368,0.04905802,1.4488566,1.196283,0.28789237,0.7416854,0.16705264,-1.2096109022774424,-1.2096109022774424,5.161277537544568,158.60796404878297,1.0
40000,1.2256247,0.034771852,1.0037025,10.837321,417.9130434782609,16.255648,0.46350962,0.00029930897,0.19976963,0.009976987,0.053019833,1.3176025,1.4046028,0.30334985,0.7188935,0.14288798,2.6484784474191456,2.6484784474191456,4.390926583953526,137.80446560486504,1.0
50000,1.2558974,0.23143889,1.0276473,12.821721,419.44827586206895,5.496117,0.48591843,0.00029909267,0.19969755,0.009969784,0.05216081,1.239345,1.1482034,0.30828136,0.70745486,0.121715926,1.6302466052786813,1.6302466052786813,4.330097666577153,126.35122512734455,1.0
60000,1.2226391,0.23503034,1.0590417,13.508012,457.4761904761905,4.9535766,0.4456209,0.00029887966,0.19962654,0.009962693,0.05503463,1.2002411,1.0415083,0.2842634,0.72823966,0.10428029,0.8209420922009841,0.8209420922009841,5.078207758457764,124.6028211220451,1.0
70000,1.14137,0.21435763,1.117853,14.708553,469.2,4.086748,0.49110174,0.00029868557,0.19956183,0.009956228,0.054518502,1.0917064,1.0248635,0.29400972,0.72515243,0.09557165,0.8744128113169045,0.8744128113169045,5.255998607192721,139.8369751430693,1.0
80000,1.1388658,0.13078523,1.1037015,15.624305,454.3636363636364,5.857771,0.42556638,0.00029849098,0.199497,0.009949748,0.050072577,1.1040863,1.0124122,0.27939427,0.7284001,0.0914366,0.515727567740462,0.515727567740462,4.743867789479819,119.10199982469732,1.0
90000,1.0414288,0.19228661,1.1062504,16.306011,400.5217391304348,4.343965,0.476283,0.00029829773,0.19943258,0.009943314,0.050216228,0.9567603,0.95842123,0.27695203,0.7264655,0.09715377,1.8633734955172985,1.8633734955172985,4.433861007094383,116.34316247940063,1.0
100000,1.2330476,0.28858694,1.1105404,17.266712,389.0,3.5683434,0.43949983,0.0002981078,0.19936928,0.009936988,0.052487615,1.0367973,1.0667723,0.2986423,0.71075946,0.09959202,2.1246134319528935,2.1246134319528935,4.172738307714463,112.49147834777833,1.0
110000,1.1553688,0.31107327,1.0790261,17.99224,369.0967741935484,3.9897103,0.4638875,0.0002978946,0.19929822,0.00992989,0.049526867,1.0654958,1.0896932,0.30690685,0.70839214,0.02198801189661026,2.8204369893124936,2.8204369893124936,3.738990547585076,116.62258768081665,1.0
