Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
20000,1.4086537,-0.021536106,3.0921726,13.370125,0.07230673,0.00029932367,0.19977456,0.00498875,2.373763,0.26954576,0.74174297,0.18886863,389.81632653061223,0.3934939781783567,0.3934939781783567,95.69079242658098,1.0
40000,0.84143597,0.66859776,10.223242,4.3582263,0.07206306,0.00029818475,0.19939491,0.004969806,1.4262552,0.29763705,0.70317477,0.111607075,148.44274809160305,2.164987780962438,2.164987780962438,38.866321843588416,1.0
60000,0.6897016,1.0357261,11.966946,1.7509215,0.067726396,0.00029698704,0.19899566,0.004949884,1.053354,0.26315004,0.73538274,0.08722518,145.95138888888889,2.1034041937258277,2.1034041937258277,30.000260498283524,1.0
80000,0.4285708,1.0130208,13.673703,2.452702,0.073502176,0.00029578232,0.19859411,0.0049298457,0.85262144,0.23095001,0.75496036,0.07947135,151.46212121212122,2.076448494462635,2.076448494462635,30.909041224329762,1.0
100000,0.5002961,1.289918,16.793522,1.6137625,0.07070972,0.00029457847,0.19819283,0.004909822,0.9978932,0.30816287,0.7100945,0.08540358,94.16190476190476,2.1959895313192175,2.1959895313192175,23.09979388809882,1.0
120000,0.32016864,1.1719186,16.501196,2.9171014,0.06800751,0.0002933832,0.19779438,0.0048899394,0.9093151,0.24099472,0.74862915,0.011782624655299716,111.02793296089385,2.057144891940256,2.057144891940256,24.176061242155615,1.0
140000,0.40290904,1.3984532,18.863472,1.7552073,0.06710532,0.0002921842,0.19739473,0.004869997,0.882325,0.27488354,0.7384094,0.0,86.51982378854626,2.2918745452331852,2.2918745452331852,18.930152193626814,1.0
160000,0.4287043,1.4757998,19.846437,1.5668744,0.06854701,0.00029099372,0.1969979,0.0048501953,0.9359544,0.28567842,0.7255827,0.0,71.1326164874552,2.3100524839858037,2.3100524839858037,15.234549906493413,1.0
180000,0.47931218,1.4203744,18.748438,1.4148023,0.071661815,0.00028980913,0.19660303,0.004830491,0.8693159,0.273733,0.7393953,0.0,84.36480686695279,2.2707493362104914,2.2707493362104914,17.436662182531645,1.0
200000,0.5414327,1.3503903,18.080866,1.4189,0.06992534,0.0002886093,0.1962031,0.0048105344,0.8552706,0.27028966,0.74713105,0.0,87.55947136563877,2.285430812605119,2.285430812605119,18.414775500986888,1.0
220000,0.4731378,1.4400669,17.828224,1.3506846,0.07327566,0.0002874156,0.19580519,0.0047906786,0.9177288,0.28547654,0.73447293,0.0,72.13503649635037,2.2846402764710985,2.2846402764710985,15.79366503040487,1.0
240000,0.4419492,1.5272099,17.440762,1.3777224,0.06762627,0.000286217,0.19540568,0.0047707423,0.9136971,0.28629848,0.7346863,0.0,66.58585858585859,2.3035837995971833,2.3035837995971833,14.009079114355222,1.0
260000,0.4439472,1.4935392,16.077705,1.1829784,0.06859556,0.00028502167,0.1950072,0.0047508595,0.8621942,0.2677895,0.7480463,0.0,67.14041095890411,2.3057747077039497,2.3057747077039497,13.684798708446197,1.0
280000,0.40669248,1.5698754,16.05389,1.2106116,0.068361826,0.0002837705,0.19459015,0.004730049,0.8748247,0.27534088,0.74827063,0.0,56.59942363112392,2.3019619219680116,2.3019619219680116,11.651049658344785,1.0
