Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Is Training
10000,1.4666426,-0.041402508,0.3455586,0.80205,499.0,2.6170917,0.40295285,0.00029991526,0.19997174,0.009997176,0.15969399,1.5361962,3.020228,0.29975635,0.71691614,0.2261907,-3.0461108658669724,-3.0461108658669724,17.877954893642002,64.10836352242364,1.0
20000,1.188852,-0.15487361,1.446834,3.83499,499.0,1.6913054,0.47253644,0.00029978022,0.19992675,0.0099926805,0.057341225,1.3338729,1.1587759,0.26947406,0.72994447,0.15244041,-1.173333300756187,-1.173333300756187,12.450289050738016,75.70631204711066,1.0
30000,1.021874,-0.2146072,1.8759392,6.11848,465.32,3.798209,0.42979208,0.00029962932,0.19987643,0.009987655,0.05808149,1.1714443,1.1087242,0.28420356,0.72665495,0.110321544,-0.1289860482987327,-0.1289860482987327,11.203358302203318,85.66550366642575,1.0
40000,0.9685123,-0.16555469,1.9422146,7.923019,481.5263157894737,2.0122087,0.48188967,0.00029947996,0.19982666,0.009982682,0.05398232,1.0923542,1.0126959,0.26567626,0.7411396,0.0826151,-0.38894998719915747,-0.38894998719915747,10.797190219163895,75.71559898853302,1.0
50000,1.0136143,-0.18638733,2.0757809,8.33879,499.0,0.79355526,0.41923714,0.00029933473,0.19977826,0.0099778455,0.056179274,1.1264088,0.81647027,0.24600613,0.7566339,0.06267722,-0.8974832683801651,-0.8974832683801651,11.85460035353899,63.49166766405106,1.0
60000,0.9223434,-0.20159113,2.3625293,9.536112,499.0,3.5846705,0.39413285,0.00029917536,0.19972514,0.00997254,0.057124835,1.0356122,0.90538263,0.24399765,0.76371986,0.059603952,-1.235049910005182,-1.235049910005182,11.55405802577734,71.51575638055802,1.0
70000,0.97580016,-0.33497143,2.5406241,9.355905,485.5,0.8907922,0.38291392,0.00029901665,0.19967219,0.009967254,0.05827231,1.032004,0.7858852,0.24370165,0.762445,0.041520573,-1.5612332225777208,-1.5612332225777208,11.659261010587215,63.50716831088066,1.0
80000,0.9122537,-0.36558962,2.6255534,10.277557,452.05,1.8406434,0.38677436,0.0002988735,0.19962451,0.009962487,0.06800683,0.9893379,0.84483695,0.26218128,0.75321126,0.03886026,-0.7708984356697487,-0.7708984356697487,12.489266394273095,72.1100739914438,1.0
90000,0.97722274,-0.34011197,2.7946448,10.080226,485.8,0.74349713,0.36663407,0.0002987298,0.19957662,0.009957701,0.0684479,0.9300825,0.75892603,0.24213989,0.7644398,0.045493744,-1.266999859083444,-1.266999859083444,14.422635266184807,59.926544797420505,1.0
100000,0.94845605,-0.3538409,2.8510697,10.171231,492.3181818181818,4.241876,0.34418523,0.0002985661,0.19952202,0.009952251,0.06465493,0.9266443,0.9425117,0.25118738,0.76404965,0.059908528,-1.0102165614254772,-1.0102165614254772,13.062332904338836,82.2319099664688,1.0
110000,0.9770855,-0.24124186,2.8291388,10.006105,493.6111111111111,2.650231,0.35986,0.00029842256,0.19947417,0.00994747,0.06597039,0.94250864,1.0630031,0.24046288,0.7556286,0.018450887873768806,-0.23304996713995935,-0.23304996713995935,13.488954193890095,71.11170416474343,1.0
120000,1.1429021,-0.1844296,2.7955384,8.994407,497.95238095238096,1.0264661,0.34187523,0.00029827197,0.199424,0.009942455,0.06257548,1.0566202,0.79367316,0.22742012,0.77474093,0.0,-0.2033015385802303,-0.2033015385802303,12.982043983680862,59.436319986979164,1.0
130000,1.1024427,-0.14312856,2.7300467,9.248749,471.2857142857143,1.2647667,0.34047997,0.00029812724,0.19937575,0.009937637,0.060609102,0.9927384,0.8824712,0.23839305,0.76606536,0.0,-0.09609994338825345,-0.09609994338825345,11.761376316845418,61.464149510860445,1.0
140000,1.1545801,-0.22244838,2.5129635,8.061116,477.15,0.82138747,0.32735428,0.0002979852,0.19932841,0.009932907,0.052737974,1.0188104,0.7234842,0.22430341,0.7803036,0.0,-0.6231903997915131,-0.6231903997915131,10.531950102320739,57.20641485282353,1.0
150000,1.1681948,-0.19010678,2.4126682,8.169441,499.0,0.82742625,0.39660233,0.00029782768,0.1992759,0.009927662,0.052736707,0.98890084,0.7337743,0.23646593,0.7750646,0.0,-0.32719047653621863,-0.32719047653621863,10.868466743401118,64.8526937734513,1.0
160000,1.0636225,-0.1272858,2.338391,9.040656,460.1578947368421,0.8320991,0.35823476,0.00029766915,0.19922306,0.0099223815,0.053574197,0.954385,0.72693586,0.23356095,0.7791704,0.0,0.054133398458361626,0.054133398458361626,9.975533337146043,58.56128539443016,1.0
170000,1.1199992,-0.09703778,2.3477774,8.820481,437.88,0.9476883,0.37140042,0.00029751303,0.19917104,0.009917184,0.054151516,0.96250343,0.7368215,0.23538549,0.77631366,0.0,0.36173337729647753,0.36173337729647753,9.857918098270893,59.95187261581421,1.0
180000,1.0834035,0.101733334,2.4239368,10.103253,400.4166666666667,1.0747018,0.3478921,0.0002973731,0.19912435,0.009912523,0.059960503,0.93487257,0.83891904,0.23363265,0.78183365,0.0,0.9032638883218169,0.9032638883218169,9.878926614920298,53.58757672210535,1.0
190000,1.1027522,0.12398543,2.382958,8.827716,441.125,0.9124506,0.3122811,0.00029723215,0.19907737,0.00990783,0.057576828,0.9154849,0.7975098,0.23140034,0.78827566,0.0,0.7019999612163267,0.7019999612163267,10.543573405431664,54.03328799164814,1.0
200000,1.108595,0.16784498,2.2751215,8.813294,429.6666666666667,0.8743192,0.31693164,0.0002970781,0.19902603,0.009902701,0.05521431,0.92657316,0.7758276,0.24003668,0.76759005,0.0,1.2741805133409798,1.2741805133409798,9.53793242884179,50.882981482582785,1.0
210000,1.0944091,0.17096086,2.2143965,8.439834,419.0952380952381,0.7121586,0.2997727,0.00029692362,0.19897453,0.009897555,0.051011663,0.89693755,0.66863245,0.2139626,0.7933651,0.0,1.0105606157713654,1.0105606157713654,8.929526147178628,50.66741348938508,1.0
220000,1.0991074,0.2021466,2.2190464,7.9267383,404.08,0.92993104,0.36501467,0.00029677025,0.19892342,0.00989245,0.051284254,0.8695261,0.75525427,0.23007993,0.780697,0.0,1.134066667035222,1.134066667035222,8.381158186793327,44.922075445652005,1.0
230000,1.1112171,0.18864559,2.2092893,8.224506,421.75,0.90041894,0.36091647,0.00029661582,0.19887194,0.009887307,0.049611956,0.93803227,0.73155975,0.22666559,0.7888621,0.0,0.83852174675659,0.83852174675659,8.694315656371739,56.05590456465016,1.0
240000,1.0691669,0.30578232,2.2118478,8.4732065,376.25925925925924,0.77836686,0.3471518,0.00029646038,0.19882011,0.00988213,0.052987806,0.8717036,0.73248607,0.2367328,0.77733934,0.0,1.3854047390133408,1.3854047390133408,8.258272952799286,43.52463529152529,1.0
250000,1.0621921,0.41992885,2.3157065,8.550514,378.22222222222223,1.113431,0.34332883,0.00029632435,0.19877478,0.009877599,0.055373892,0.8488156,0.71989226,0.23884203,0.7814574,0.0,1.6506666132034018,1.6506666132034018,8.519551056508835,53.37351551694939,1.0
260000,1.0791123,0.3093261,2.2889972,8.370733,414.59090909090907,0.837146,0.3046565,0.00029618666,0.19872889,0.009873015,0.05405725,0.822348,0.6693438,0.22162943,0.79040253,0.0,0.747521703414943,0.747521703414943,9.119986269785011,47.35056703505309,1.0
270000,1.1362576,0.48284185,2.274339,8.333636,376.62068965517244,0.90880346,0.37571916,0.000296034,0.198678,0.009867931,0.052924693,0.8619973,0.70522946,0.22646889,0.78907126,0.0,1.6460594617029918,1.6460594617029918,8.139287332072854,48.067960139763144,1.0
280000,1.1491591,0.36865237,2.2370322,7.8215203,413.39130434782606,0.7123728,0.38069284,0.0002958809,0.19862697,0.009862834,0.04996619,0.8783668,0.62416625,0.20407884,0.81104887,0.0,0.896275383055858,0.896275383055858,8.85441429329955,44.48010014224312,1.0
290000,1.1691293,0.26084587,2.1883762,7.0166507,451.5,0.4765746,0.30074096,0.0002957263,0.19857542,0.009857684,0.050026923,0.87247527,0.56782883,0.18947968,0.82377803,0.0,0.508565158461747,0.508565158461747,9.09129252900248,42.48991296602332,1.0
300000,1.1430119,0.30045474,2.173161,7.1982117,412.7916666666667,0.715248,0.3313349,0.00029557076,0.19852358,0.009852504,0.05019025,0.89056605,0.60978425,0.2043773,0.8117172,0.0,1.248208262724802,1.248208262724802,8.755054011940956,44.302980760733284,1.0
310000,1.1333996,0.31446493,2.2900066,7.038038,414.72,0.576635,0.37181675,0.00029541756,0.1984725,0.0098474035,0.0536955,0.8864009,0.6248291,0.20521586,0.8064194,0.0,1.0497465962730348,1.0497465962730348,8.909206190109252,43.82271241664886,1.0
320000,1.1513999,0.18808702,2.2278872,5.939575,474.55,0.48242122,0.3250834,0.00029527224,0.19842409,0.009842565,0.049283586,0.8751622,0.5322362,0.175794,0.8371089,0.0,0.16218332331627608,0.16218332331627608,9.704164163768292,44.14934690976516,1.0
330000,1.1739619,0.18122149,2.114754,6.3872275,477.95454545454544,0.56420594,0.343851,0.00029512573,0.19837524,0.009837686,0.04879612,0.8695947,0.5478637,0.18425034,0.8327134,0.0,0.24613631211898543,0.24613631211898543,9.487449418414723,47.69425833360715,1.0
340000,1.149897,0.19903848,2.1238723,7.002776,430.6818181818182,0.6448794,0.3278063,0.00029496898,0.19832298,0.009832466,0.051490337,0.83235204,0.5790809,0.193795,0.82369745,0.0,0.7304999271873385,0.7304999271873385,9.155190877277743,44.089001281694934,1.0
350000,1.1223738,0.31175146,2.1899195,7.237419,408.38461538461536,0.83227205,0.35289067,0.00029481496,0.19827163,0.009827336,0.049622033,0.8051672,0.61647576,0.19964078,0.81461394,0.0,1.399693318605423,1.399693318605423,8.224548149108887,44.248274145126345,1.0
360000,1.1322813,0.31796613,2.149046,6.721058,426.6818181818182,0.5739233,0.32006234,0.00029467538,0.19822513,0.009822689,0.05107343,0.8524664,0.6055604,0.20273387,0.8164156,0.0,1.6393477691732266,1.6393477691732266,8.923185647829719,46.59947021180035,1.0
370000,1.1185628,0.33429924,2.1258566,5.7795687,443.9166666666667,0.74739707,0.3037681,0.00029453816,0.1981794,0.009818121,0.047960427,0.8492314,0.54288435,0.18002254,0.8344549,0.0,0.7996811738804631,0.7996811738804631,8.594315740077391,37.51465266165526,1.0
380000,1.1043961,0.3659377,2.0976462,6.276842,415.69565217391306,0.66201246,0.33533806,0.00029438603,0.19812867,0.0098130535,0.047082312,0.8485199,0.5589935,0.18505087,0.8314459,0.0,1.1880416648928076,1.1880416648928076,8.258372016251087,41.29478757828474,1.0
390000,1.0831262,0.39350906,2.1500008,6.0894704,410.1304347826087,0.7122389,0.29496354,0.00029423326,0.19807775,0.009807966,0.052906446,0.80497485,0.58230907,0.18895957,0.82174385,0.0,1.4043188048121722,1.4043188048121722,8.651852548122406,38.43162449935208,1.0
400000,1.0887039,0.37904403,2.1268075,5.8891463,426.95652173913044,0.52971447,0.33023113,0.00029408024,0.19802673,0.00980287,0.04878383,0.83699816,0.58057344,0.19323514,0.822394,0.0,1.0056521694135407,1.0056521694135407,8.466650252756866,41.1347415133015,1.0
410000,1.0344474,0.42765117,2.166299,6.1032586,384.14285714285717,0.6457068,0.34595758,0.000293926,0.19797532,0.009797735,0.05059765,0.7707001,0.5943998,0.19193174,0.8225581,0.0,1.9173808983926262,1.9173808983926262,7.924563434507165,38.81456492947681,1.0
420000,1.0328732,0.50817436,2.1678972,6.2699323,350.9642857142857,0.86904633,0.36018324,0.00029377406,0.19792467,0.009792675,0.050509132,0.75376,0.6279409,0.20743866,0.8049139,0.0,2.2302591518533452,2.2302591518533452,7.166812748820694,37.502989385415006,1.0
430000,1.0137329,0.4543162,2.1707134,6.0058413,360.62068965517244,0.5858566,0.33746362,0.00029362124,0.19787373,0.009787585,0.05075853,0.74563265,0.6113625,0.20254584,0.80883706,0.0,1.5744555429865916,1.5744555429865916,7.734192989269892,39.59809873700142,1.0
440000,0.98575884,0.5135153,2.2199802,5.896872,333.3666666666667,0.85221404,0.3789932,0.00029346935,0.19782314,0.0097825285,0.049828053,0.7018552,0.59670776,0.19401647,0.8154769,0.0,1.931244438533516,1.931244438533516,6.963085915148258,34.23262754182021,1.0
450000,0.94086283,0.508575,2.0467603,5.832622,347.64285714285717,0.56594336,0.37879953,0.0002933139,0.19777128,0.009777352,0.043764926,0.6743873,0.53689045,0.17421749,0.8332531,0.0,1.827845171559602,1.827845171559602,6.320147552128349,31.195274030989303,1.0
460000,0.9246992,0.6644472,2.1667228,6.664842,277.74285714285713,0.8341365,0.3491337,0.00029316326,0.19772108,0.009772335,0.05438893,0.712648,0.6350144,0.21153212,0.81017303,0.0,2.5741904558879987,2.5741904558879987,6.020879441073963,31.216875723004343,1.0
470000,0.9798427,0.6961824,2.2710526,6.008894,334.9,0.85984695,0.36065477,0.00029301672,0.19767223,0.009767456,0.053138364,0.6825245,0.6119005,0.19434103,0.80995655,0.0,1.817966593670038,1.817966593670038,7.249692619840304,33.10028933882713,1.0
480000,0.9570731,0.67079574,2.244007,5.812293,297.54545454545456,0.8775071,0.37547308,0.00029286777,0.1976226,0.009762497,0.053028673,0.6723709,0.58588505,0.19092926,0.8197935,0.0,2.31676758752402,2.31676758752402,6.391298648760174,31.11762334270911,1.0
490000,0.9539952,0.634319,2.301346,5.5176783,355.9655172413793,0.8022413,0.3453339,0.00029271859,0.19757286,0.009757528,0.057013333,0.6282239,0.5714154,0.18281193,0.82750905,0.0,2.0588451602629254,2.0588451602629254,8.319205279328994,34.371412148499594,1.0
500000,0.9902635,0.62770927,2.3899226,5.5834765,349.6551724137931,0.7320188,0.33189616,0.00029256713,0.19752239,0.009752486,0.058113925,0.6822313,0.5605637,0.18295358,0.8267616,0.0,1.9120443924640615,1.9120443924640615,8.423893626530965,33.43663902978103,1.0
510000,0.9716695,0.65964663,2.3899615,6.103771,314.06451612903226,0.6632182,0.34096828,0.0002924182,0.19747272,0.009747525,0.057650555,0.663834,0.5892501,0.19250877,0.82226527,0.0,2.0805483202660278,2.0805483202660278,7.40318389957951,30.652545434813344,1.0
520000,1.0034119,0.6444251,2.3448381,5.5538125,349.6896551724138,0.7053311,0.3216321,0.00029226858,0.19742285,0.009742543,0.05268833,0.64474374,0.5810071,0.1894561,0.82322514,0.0,1.999452326872935,1.999452326872935,7.530221052733915,35.26491279148364,1.0
530000,1.0544366,0.60735375,2.2962062,5.6388555,341.67857142857144,0.86377823,0.35514215,0.00029211663,0.19737223,0.009737485,0.053075153,0.70782566,0.60411125,0.19758946,0.81766903,0.0,1.7823333676372255,1.7823333676372255,7.406430501224739,37.30060524382653,1.0
