Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Is Training
10000,1.4104971,-0.08880135,0.3707792,0.8178316,499.0,3.0212266,0.4046773,0.00029988697,0.19996233,0.009996235,0.16983272,1.51701,3.0250459,0.31703284,0.71881837,0.1997323,-3.3033330400163927,-3.3033330400163927,18.155979024039375,72.90382520357768,1.0
20000,1.1218323,-0.27167338,1.4095304,3.328281,477.25,2.1526897,0.47738346,0.00029970697,0.19990233,0.009990241,0.06180302,1.2511412,1.0424337,0.26476896,0.74297863,0.12814121,-1.2247665826231242,-1.2247665826231242,12.858549901843071,78.68651109933853,1.0
30000,0.9888307,-0.25113818,1.8893534,5.7795377,467.09090909090907,3.1096556,0.4437481,0.0002995095,0.19983648,0.009983666,0.05798623,1.1174611,1.131189,0.28962156,0.72861373,0.09008383,-0.7051514661447569,-0.7051514661447569,11.313566993583333,76.52077065814625,1.0
40000,0.8856871,-0.1340362,2.2896717,7.615576,477.6190476190476,6.441394,0.40692967,0.0002992999,0.19976664,0.009976685,0.060800362,1.043168,1.0738872,0.27226752,0.73447627,0.064738825,-0.42384121460574015,-0.42384121460574015,11.819176336129507,83.35813678162438,1.0
50000,0.8516518,-0.09589975,2.5052176,8.868688,431.2173913043478,1.676082,0.45022187,0.00029909174,0.19969723,0.009969756,0.06100049,0.9529926,1.0987582,0.26983538,0.7311241,0.051415145,0.04146968710913577,0.04146968710913577,11.865226925096728,72.16429524733262,1.0
60000,0.8042595,-0.0176827,2.5306106,9.598819,384.51851851851853,1.1328114,0.40544143,0.00029888653,0.19962883,0.009962922,0.056197815,0.9114145,0.9505992,0.28714845,0.72334826,0.04312021,0.457938310034849,0.457938310034849,8.515042897727755,59.41972338491016,1.0
70000,0.734791,0.010574189,2.6664224,10.211306,420.5238095238095,0.97892404,0.41729432,0.0002987019,0.19956729,0.009956772,0.055199243,0.77541614,0.8609419,0.2587971,0.74652034,0.038869604,-0.43295447096567263,-0.43295447096567263,9.746915475888686,61.9990690946579,1.0
80000,0.9201589,-0.086310074,2.6921196,9.557811,418.0,0.8076829,0.38384956,0.00029851482,0.19950494,0.009950543,0.06264632,0.9415231,0.8845167,0.26889628,0.739758,0.03497975,-0.23269125950281266,-0.23269125950281266,10.740214493539598,59.27882741115712,1.0
90000,0.74632716,-0.03549387,2.5624523,10.897283,438.59090909090907,0.8609935,0.40189266,0.0002983056,0.19943522,0.009943577,0.057793386,0.77510834,0.99608076,0.24883565,0.7592858,0.04755734,0.42657578448680317,0.42657578448680317,10.727149253541773,58.5774687403305,1.0
100000,0.9200079,-0.09182704,2.5218294,9.257494,433.0416666666667,0.5317322,0.38713104,0.00029809668,0.19936554,0.00993662,0.055886816,0.9083446,0.7815995,0.25536734,0.75897175,0.068541214,0.22641668523040911,0.22641668523040911,9.808832183480263,57.04968778168162,1.0
110000,0.91869515,-0.03245896,2.50794,9.791092,432.3478260869565,0.90475273,0.4264012,0.00029788841,0.19929615,0.009929684,0.060176335,0.8575579,0.91570795,0.2528488,0.7534933,0.014084963500499726,-0.025912881950321404,-0.025912881950321404,10.667702165310798,58.124008204626,1.0
120000,0.9521948,-0.040418778,2.5438774,10.105816,439.30434782608694,0.87062347,0.33454594,0.0002977018,0.19923395,0.009923469,0.05848644,0.8341634,0.87041914,0.2581019,0.75843394,0.0,-0.2036969383162531,-0.2036969383162531,10.727994522587819,58.13422619483688,1.0
130000,1.0170786,-0.07610625,2.572215,9.995212,425.6666666666667,0.61773014,0.31787738,0.0002975157,0.1991719,0.009917272,0.062043052,0.92449796,0.7976478,0.24411277,0.76312244,0.0,-0.4840150690314741,-0.4840150690314741,10.884435771541161,55.91887441006574,1.0
140000,1.0407366,0.015286636,2.5697622,9.836112,348.53333333333336,0.52146786,0.3492602,0.0002973122,0.1991041,0.009910496,0.059657387,0.92675626,0.8822826,0.25781333,0.75122005,0.0,1.1456444952016076,1.1456444952016076,8.695912187794844,47.45068650005948,1.0
150000,1.0912888,0.118303545,2.47857,9.8214655,340.51724137931035,0.8071108,0.343373,0.00029711172,0.19903725,0.00990382,0.05698018,0.9383408,0.9276242,0.26862797,0.74396336,0.0,1.0828965673672741,1.0828965673672741,7.850390339719838,45.39831411427465,1.0
160000,1.0827165,0.19332574,2.4057615,9.130554,362.5,0.6878778,0.34495836,0.0002969115,0.19897048,0.009897152,0.054616172,0.94169295,0.83650464,0.2447125,0.7630169,0.0,1.1437976317247376,1.1437976317247376,8.161617297280047,44.664318333779065,1.0
170000,1.0252712,0.42103577,2.379294,9.677196,306.42424242424244,0.76432675,0.3253712,0.00029671253,0.19890419,0.0098905265,0.05571587,0.8870139,0.83790934,0.25169522,0.7485014,0.0,1.5932083302468527,1.5932083302468527,7.142382741905749,39.677428058785154,1.0
180000,1.0738031,0.44597563,2.32237,9.191147,361.44444444444446,0.8168068,0.350416,0.00029651215,0.19883738,0.009883855,0.05348252,0.90502155,0.83259946,0.26311162,0.7514264,0.0,1.238925965330391,1.238925965330391,7.920160301305629,50.90181772024543,1.0
190000,1.1111591,0.4524725,2.180057,8.667303,365.32142857142856,0.6276255,0.33033258,0.00029630397,0.19876799,0.009876922,0.047540598,0.96473515,0.7636485,0.23504667,0.7653937,0.0,1.5564285121072317,1.5564285121072317,7.309290977194905,44.65915414291833,1.0
200000,1.0904692,0.4793816,2.1135194,10.005762,349.82142857142856,0.92405796,0.32015237,0.00029610502,0.19870168,0.009870296,0.050402652,0.9305066,0.85989714,0.26542717,0.7461866,0.0,1.71193100267957,1.71193100267957,7.196200362567244,46.76952807142817,1.0
210000,1.1018327,0.5945367,2.071909,9.313913,311.19354838709677,0.6858274,0.31001544,0.00029590394,0.19863464,0.0098636,0.049014483,0.9184327,0.83174074,0.25287867,0.7461132,0.0,2.2837310436992877,2.2837310436992877,6.285571198309621,38.29005189023672,1.0
220000,1.0734389,0.505615,1.9769682,8.719874,364.8965517241379,0.60027945,0.327046,0.00029570627,0.19856875,0.009857018,0.048415132,0.83872795,0.75360286,0.23484342,0.7619381,0.0,1.6476308634903813,1.6476308634903813,7.328045992978981,41.47150240306343,1.0
230000,1.0440753,0.5306534,1.9504206,8.717348,308.9375,0.5384443,0.32509106,0.0002955074,0.19850247,0.009850396,0.05052013,0.81530493,0.770954,0.24866018,0.7588873,0.0,2.0800103665096685,2.0800103665096685,6.380735609214753,39.14700781740248,1.0
240000,1.034539,0.56357294,1.9424683,9.50281,284.969696969697,0.7139026,0.35614213,0.00029531168,0.19843723,0.0098438775,0.049367487,0.8086053,0.83083105,0.26480338,0.74721116,0.0,2.1424215253552092,2.1424215253552092,5.802414775771253,37.35235230580849,1.0
250000,1.047808,0.55220664,1.9352973,7.9574566,333.4,0.48078442,0.39195663,0.0002951159,0.19837196,0.009837358,0.04703315,0.8624727,0.76112807,0.24451515,0.7609788,0.0,1.560977705505987,1.560977705505987,6.361564746995767,38.03563958158096,1.0
260000,1.0650848,0.56436974,1.9181906,8.510394,304.78125,0.66798437,0.34979182,0.00029491392,0.19830464,0.009830633,0.04717542,0.87782705,0.7792513,0.2535886,0.7671138,0.0,1.6254062526859343,1.6254062526859343,5.912878304719925,38.06813808332663,1.0
270000,1.0107024,0.58681643,1.9848709,8.578957,317.96875,0.7978677,0.35000986,0.0002947145,0.19823818,0.009823992,0.050197076,0.8254269,0.76085585,0.24795973,0.76210004,0.0,2.058093635714613,2.058093635714613,6.566199924098328,40.30579134472646,1.0
280000,1.0027423,0.69857395,2.0162997,7.893086,301.09090909090907,0.7193874,0.37196195,0.0002945166,0.1981722,0.009817401,0.04966961,0.79033124,0.7537099,0.24433227,0.7649988,0.0,2.079151406206868,2.079151406206868,6.137551872116147,35.04359397743688,1.0
290000,1.0179244,0.73687035,1.9806075,7.414744,310.25,0.56617695,0.3985512,0.00029429753,0.19809918,0.009810108,0.048681047,0.7912597,0.7259405,0.23750119,0.7723033,0.0,2.2308285083089556,2.2308285083089556,6.144510770908424,35.1017121732235,1.0
300000,1.053823,0.7974929,1.9702436,8.165532,261.97222222222223,0.7086164,0.3502599,0.00029408687,0.19802895,0.009803092,0.048540674,0.8338033,0.75570846,0.2519092,0.7588433,0.0,2.281257053790614,2.281257053790614,5.181582334637642,30.915842562062398,1.0
310000,0.96382517,0.845481,1.9336413,7.8264527,256.4871794871795,0.8016635,0.36503533,0.00029389496,0.19796497,0.009796701,0.049176186,0.77764016,0.75941473,0.25072846,0.7620076,0.0,2.1766416097059844,2.1766416097059844,5.112557813152671,31.25023158341646,1.0
320000,0.97163767,0.88632727,1.9879647,7.64364,232.95348837209303,0.6747327,0.297071,0.00029370148,0.19790049,0.0097902585,0.05203415,0.7133012,0.7122077,0.22892599,0.77391917,0.0,2.4485226963562043,2.4485226963562043,5.085117216645316,26.269559344107453,1.0
330000,1.0492653,0.7926208,1.9764674,7.1889963,250.71794871794873,0.8278891,0.31464833,0.00029350602,0.19783533,0.00978375,0.049124654,0.81269276,0.7279699,0.24283937,0.77305865,0.0,2.350965717855172,2.350965717855172,5.04906873137523,29.127258679805657,1.0
340000,1.0464936,0.68097395,1.940118,6.430747,297.1515151515151,0.5692742,0.3138596,0.00029330904,0.19776967,0.009777189,0.04835052,0.7679949,0.6926268,0.22907078,0.78041995,0.0,1.7208282526469592,1.7208282526469592,5.817431176250631,30.033797498227973,1.0
350000,1.0278428,0.645199,1.9563904,6.8006454,272.10526315789474,0.61949044,0.35905883,0.0002931077,0.19770256,0.009770486,0.050979603,0.77782184,0.69756365,0.23012964,0.7766919,0.0,2.158087617962768,2.158087617962768,5.769506057430255,30.877975219566572,1.0
360000,1.0563744,0.65847355,2.002371,6.720843,273.3243243243243,0.6530217,0.3553297,0.00029290863,0.19763619,0.0097638555,0.049689837,0.7649299,0.68143475,0.2217488,0.78742206,0.0,2.116574014019635,2.116574014019635,5.6000200261672335,29.153604260749287,1.0
