Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Is Training
10000,1.5556808,0.052236762,0.3200821,0.81563425,499.0,5.798196,0.4055124,0.00029991238,0.19997077,0.00999708,0.211796,1.596057,3.4689,0.31621057,0.6983368,0.2410124,-2.282222161690394,-2.282222161690394,11.275668932331932,102.26843815379672,1.0
20000,1.2885236,-0.008209528,1.0733578,4.217219,499.0,7.8683405,0.49007916,0.0002997661,0.19992201,0.009992211,0.059755143,1.4391978,1.319236,0.29416096,0.7109661,0.17550105,-1.212777776022752,-1.212777776022752,7.0180205619997444,143.15008992618985,1.0
30000,1.1408422,-0.1092942,1.0585605,7.6617365,499.0,25.326271,0.4650412,0.00029961995,0.1998733,0.009987343,0.04588318,1.233347,1.2274208,0.29380968,0.72538114,0.14792696,-1.021739100450245,-1.021739100450245,4.63446241746778,159.79397943745488,1.0
40000,1.0523568,-0.12679762,0.95978564,9.971607,436.09090909090907,7.240939,0.48077714,0.00029947443,0.1998248,0.009982497,0.0412019,1.1267402,1.1185167,0.3101858,0.7155976,0.12338623,0.3607577152698385,0.3607577152698385,4.061846089295366,150.4432932246815,1.0
50000,1.0809009,0.007888675,0.9102897,12.371423,472.14285714285717,8.295964,0.4367432,0.00029933167,0.19977723,0.009977746,0.04996279,1.137341,1.1346892,0.3160598,0.7042589,0.10476441,0.6468334397417493,0.6468334397417493,4.490259172208607,146.87144483327864,1.0
60000,1.163961,-0.096274704,0.96596384,12.794358,484.15,3.136662,0.49698573,0.0002991856,0.19972855,0.0099728815,0.05394984,1.253063,0.9421861,0.27691734,0.7296967,0.09150475,-1.0631108319475537,-1.0631108319475537,5.268194121973855,121.63165589741298,1.0
70000,1.0907872,-0.10531328,1.0503255,13.737225,474.9047619047619,3.667446,0.45855868,0.00029903743,0.19967912,0.009967944,0.05804749,1.1991451,0.92832196,0.27712092,0.7454773,0.080018125,-0.1883635715242814,-0.1883635715242814,5.671519767154347,132.45456199212506,1.0
80000,1.094837,-0.117169715,1.0910202,14.046785,499.0,3.9009433,0.46874934,0.00029887425,0.19962478,0.009962512,0.052668672,1.1000618,0.9056945,0.27391973,0.73776525,0.078137934,-0.9085789806160488,-0.9085789806160488,5.292511417677528,128.47598818728798,1.0
90000,1.115954,-0.16912957,1.1114628,13.923322,481.55555555555554,2.765057,0.41207215,0.00029871834,0.19957277,0.00995732,0.054878887,1.077317,0.86417556,0.26631773,0.74740046,0.08601134,-0.5558571220331249,-0.5558571220331249,5.4112384571206,122.99273605573745,1.0
100000,1.0262421,-0.1783457,1.1047742,14.644609,487.23809523809524,2.4828587,0.36639398,0.00029857893,0.19952632,0.0099526765,0.046029508,0.9626235,0.7490396,0.22365957,0.7822019,0.097575545,-1.0061333393212408,-1.0061333393212408,5.021939906477928,107.81384320259095,1.0
110000,1.041274,-0.122254,1.0548425,15.364168,464.8095238095238,3.4617157,0.47060126,0.00029843146,0.19947714,0.009947767,0.048253655,1.0352813,0.8541323,0.2610491,0.75012696,0.025409985333681107,0.9320724658344103,0.9320724658344103,4.514847656630951,122.32750966237938,1.0
120000,1.0654109,-0.095882595,0.99512684,16.69346,484.5,2.3033576,0.44118148,0.00029827497,0.199425,0.009942556,0.04441265,0.92340887,0.8605884,0.27152047,0.74484813,0.0,-0.36859999084845185,-0.36859999084845185,4.446950708702206,116.67662689685821,1.0
130000,1.076967,-0.1320695,0.99073344,16.196093,499.0,1.4896996,0.41994998,0.00029812427,0.19937478,0.009937537,0.047395006,0.94877374,0.7943851,0.25534308,0.7579211,0.0,-0.6300000218674541,-0.6300000218674541,4.9088352307677265,116.2022925376892,1.0
140000,1.0663099,-0.16859494,1.0148466,16.359854,490.04545454545456,1.7573481,0.45158696,0.00029797983,0.1993266,0.0099327285,0.046438742,0.9448167,0.8035399,0.25617573,0.7560445,0.0,-0.1953968842114721,-0.1953968842114721,4.7165790264095575,113.66805446715583,1.0
