Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Is Training
10000,1.5478525,-0.12666747,0.20774949,0.90480125,829.3333333333334,8.199582,0.37598822,0.0002998174,0.19993912,0.009993916,0.13153967,1.5941939,3.3384817,0.3103482,0.6859838,0.22173788,-3.3309495963621885,-3.3309495963621885,11.395305876930555,192.50829561551413,1.0
20000,1.3077431,-0.29956868,0.8250436,4.957525,724.4285714285714,18.794659,0.42988083,0.00029953592,0.1998453,0.0099845445,0.045918435,1.4333074,1.7277398,0.3251945,0.67750347,0.1744219,1.3192616461847837,1.3192616461847837,7.186377939123374,284.9597510007712,1.0
30000,1.0814676,0.034418833,0.8077934,7.7154016,634.8823529411765,18.52159,0.46245533,0.00029925167,0.19975056,0.00997508,0.037660927,1.205513,1.5131679,0.32152653,0.6891709,0.13695955,2.168028684599059,2.168028684599059,5.21083231855716,219.71922142165047,1.0
40000,0.8693979,0.3051559,0.80527383,10.045963,544.0,8.395838,0.5279144,0.00029894203,0.19964734,0.009964768,0.042542875,0.99206984,1.406065,0.3202659,0.68987095,0.11233759,2.7979778624139726,2.7979778624139726,4.976513983060916,188.610180699163,1.0
50000,0.8362171,0.6111696,0.94628584,13.218073,477.6470588235294,7.5163417,0.50104976,0.0002986407,0.19954692,0.009954733,0.0445418,0.9691088,1.4370278,0.34307107,0.6711292,0.0960997,4.914628650682668,4.914628650682668,4.21706454810642,176.00001430511475,1.0
60000,0.8075851,0.73446333,0.92853427,15.464365,400.6896551724138,6.4384336,0.5332058,0.00029834165,0.19944721,0.009944776,0.042319875,0.8873925,1.3263618,0.33376133,0.67227566,0.08635031,4.430752137429081,4.430752137429081,3.652461371421814,134.20415520310402,1.0
70000,0.90598553,0.7423275,0.9928542,17.403332,475.44444444444446,4.4898267,0.5205414,0.00029805227,0.19935076,0.00993514,0.047679905,0.91703427,1.3436947,0.32622644,0.6798623,0.07488696,3.8786181285554036,3.8786181285554036,4.910702786662362,153.42756378650665,1.0
80000,0.86399055,0.8959636,0.9956628,18.971325,500.95238095238096,3.9258125,0.50075144,0.00029775398,0.19925135,0.009925206,0.045930136,0.8816985,1.1490152,0.3255225,0.6731893,0.07298848,4.401957857275479,4.401957857275479,4.219432914531545,141.7706996641661,1.0
90000,0.8582986,0.8171129,1.0358963,19.286037,404.0869565217391,3.6462708,0.528796,0.00029744965,0.19914986,0.009915071,0.05012014,0.97228765,1.1611259,0.3308511,0.6814426,0.06851698,3.1554154570286093,3.1554154570286093,4.664389632642269,138.38110941648483,1.0
100000,0.8438314,0.8930613,1.036352,21.197931,418.0769230769231,3.732748,0.5204601,0.00029715066,0.19905022,0.009905117,0.047942724,0.81297433,1.1202924,0.3325264,0.66783303,0.08182859,4.832618329123679,4.832618329123679,3.938734809783372,132.10192641886798,1.0
110000,0.81582576,0.5999124,1.0311897,20.98159,485.9,3.80816,0.5094404,0.00029682682,0.19894227,0.009894332,0.046335783,0.825235,1.0115107,0.30501518,0.6893704,0.021473678946495055,1.1795300427358597,1.1795300427358597,5.175464643537998,159.51263770461082,1.0
120000,0.7383013,0.8366399,0.94796306,24.484703,361.15384615384613,3.1365013,0.47325984,0.00029653087,0.19884363,0.009884478,0.04641118,0.7511971,1.2057793,0.3446746,0.6627074,0.0,4.59855171010412,4.59855171010412,3.254047431565564,114.60477955176913,1.0
130000,1.0517356,0.55696195,1.0650657,22.319134,469.3,2.6747456,0.441509,0.000296233,0.19874433,0.009874558,0.050650835,0.9079833,1.1025761,0.31568435,0.6912657,0.0,3.472169987531379,3.472169987531379,4.8682484239339825,137.19333069324495,1.0
140000,1.0016043,0.46533516,1.026284,22.042051,516.05,2.6026044,0.47308558,0.00029594035,0.19864677,0.009864813,0.047174964,0.9071598,1.0095758,0.3039666,0.6939014,0.0,2.7801402818295173,2.7801402818295173,4.922431179881096,146.76199291944505,1.0
150000,0.9388361,0.49711987,1.0122871,23.722692,398.03846153846155,2.5817533,0.46496242,0.00029564448,0.19854815,0.009854961,0.050534643,0.82553834,1.0372566,0.3212415,0.68954897,0.0,3.762607770667483,3.762607770667483,4.3562005356384015,127.58328365821104,1.0
160000,0.9925928,0.6428964,1.0286517,25.43499,342.4642857142857,2.0695133,0.42446357,0.00029535193,0.19845065,0.00984522,0.052621417,0.89429796,1.0296736,0.3212722,0.685733,0.0,4.201407425364272,4.201407425364272,3.676483441144228,103.74629422470376,1.0
170000,0.9759661,1.0339309,1.0970356,28.432674,279.6470588235294,2.7589324,0.43679675,0.00029506357,0.19835451,0.009835616,0.062172048,0.9018291,1.104932,0.36052343,0.66496766,0.0,5.051924395752517,5.051924395752517,3.695327008898194,98.61238574015128,1.0
180000,0.90792584,1.3423456,1.2845625,29.137928,225.47058823529412,2.2699068,0.40148494,0.00029475018,0.19825006,0.00982518,0.062830344,0.8791616,1.1068735,0.36803016,0.65582645,0.0,5.467799913469288,5.467799913469288,2.8669219662745795,75.52765795389811,1.0
190000,0.8734409,1.6864107,1.2965727,29.651093,211.9318181818182,2.2718627,0.39189082,0.00029444348,0.1981478,0.009814967,0.056827772,0.798615,1.1852207,0.37816972,0.6394218,0.0,5.9280254782742245,5.9280254782742245,2.5370170558664076,77.66097182859765,1.0
200000,0.89804083,1.9503429,1.2525469,29.736908,195.66666666666666,2.154636,0.39408818,0.00029413993,0.19804664,0.009804859,0.05295987,0.79870206,1.1597829,0.3694632,0.63307047,0.0,5.932188103888183,5.932188103888183,2.189037539958954,68.72797364711761,1.0
210000,0.9901995,1.8416064,1.2710433,27.58169,204.22222222222223,2.0148058,0.41405278,0.00029383745,0.1979458,0.009794786,0.05212428,0.8650287,1.093683,0.36690116,0.63810366,0.0,5.604216331991424,5.604216331991424,2.124596139530138,70.02711477541193,1.0
