Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
20000,1.2557031,0.12455009,4.6189165,22.481386,0.07310668,0.00029931788,0.19977264,0.0049886536,2.6780794,0.25808826,0.7017143,0.19330752,424.9111111111111,3.609769040832503,3.609769040832503,137.870152258873,1.0
40000,0.7861631,1.0506573,14.4144745,9.321649,0.06853033,0.0002981709,0.19939028,0.0049695754,1.4108095,0.29779693,0.6807729,0.12190424,203.27450980392157,5.624841522148783,5.624841522148783,74.04944708677802,1.0
60000,0.6647238,1.9339044,20.409054,4.6509366,0.070840254,0.00029696565,0.19898856,0.004949528,1.1953949,0.3220547,0.6718612,0.09578358,151.96969696969697,5.871905303529094,5.871905303529094,55.58896235820219,1.0
80000,0.61724913,2.4544294,23.41247,4.1884475,0.06792927,0.0002957674,0.19858912,0.0049295966,1.1564301,0.3248309,0.6768524,0.084976375,128.3986928104575,5.84196757976146,5.84196757976146,46.51507230949017,1.0
100000,0.56452394,2.8065474,26.12015,3.495388,0.06763899,0.00029456808,0.19818935,0.0049096486,1.1508256,0.32959002,0.67829126,0.091010615,110.36871508379889,5.920160579034703,5.920160579034703,39.28037836176626,1.0
120000,0.55763584,3.0585365,27.716425,2.668681,0.06930912,0.00029337473,0.19779159,0.0048897993,1.0862164,0.3370175,0.67575216,0.012000523507595062,87.85398230088495,5.772131669977927,5.772131669977927,30.740292289450895,1.0
140000,0.54687995,3.3197932,27.72938,2.6994462,0.06828618,0.00029218,0.19739333,0.0048699267,1.1053689,0.33806536,0.678378,0.0,75.96153846153847,5.787516758280197,5.787516758280197,27.306182507138985,1.0
160000,0.52561724,3.151382,25.531456,2.2098327,0.07061845,0.00029099098,0.19699699,0.0048501496,1.059074,0.32679623,0.6920441,0.0,82.16597510373444,5.857739228215184,5.857739228215184,27.98993647590094,1.0
180000,0.48780325,3.050616,23.341944,3.0663838,0.07066308,0.00028979624,0.19659877,0.0048302775,0.97033566,0.30864295,0.70779634,0.0,94.74396135265701,5.861625923497314,5.861625923497314,31.469500769235662,1.0
200000,0.49663538,3.3188155,24.039404,2.8186662,0.06778619,0.00028860496,0.19620167,0.004810462,0.98078483,0.31144363,0.7014997,0.0,80.83884297520662,5.901002353573708,5.901002353573708,26.374860172654376,1.0
220000,0.478207,3.2139833,22.881613,2.2065387,0.064201295,0.00028741572,0.19580524,0.004790681,0.94096154,0.2994859,0.7177572,0.0,82.73251028806584,5.781242856080452,5.781242856080452,26.368929803386823,1.0
240000,0.47072807,3.3270593,22.146376,1.7337477,0.06870137,0.00028616775,0.19538924,0.004769923,0.9535278,0.3038455,0.71881557,0.0,75.2442748091603,5.83912965440625,5.83912965440625,23.14403611592209,1.0
260000,0.44385642,3.4989328,21.369986,2.0930505,0.072063446,0.00028497897,0.19499297,0.00475015,0.90205914,0.295481,0.7261398,0.0,69.87985865724382,5.765074102103532,5.765074102103532,21.180293901175155,1.0
280000,0.4271327,3.5205212,20.309385,1.4650496,0.06850187,0.00028379195,0.19459733,0.0047304053,0.8737993,0.2895668,0.7345421,0.0,63.52750809061489,5.585218647019455,5.585218647019455,18.744990901750267,1.0
300000,0.41450924,3.6173337,18.921015,1.4305,0.069315374,0.00028259738,0.19419914,0.004710536,0.8686737,0.29128063,0.73172617,0.0,65.14191419141915,5.705094931937643,5.705094931937643,19.271453220606244,1.0
320000,0.44524983,3.539401,17.637682,1.2891203,0.06676893,0.00028140057,0.19380018,0.004690629,0.84765464,0.28586486,0.73280275,0.0,66.12837837837837,5.607951863145777,5.607951863145777,18.91893327930892,1.0
340000,0.42364082,3.4881778,16.427845,1.1981604,0.07175909,0.00028020714,0.19340238,0.0046707783,0.8091639,0.27100283,0.74774677,0.0,68.80836236933798,5.66536210007539,5.66536210007539,18.588554731094753,1.0
360000,0.39616382,3.5332658,16.478891,1.4953423,0.06670956,0.0002790279,0.19300932,0.0046511646,0.80994093,0.27287892,0.7481078,0.0,63.82258064516129,5.605326582156601,5.605326582156601,17.476728837038735,1.0
380000,0.3966104,3.6711655,15.738084,1.5661395,0.06684674,0.00027777225,0.19259074,0.0046302783,0.78075016,0.26234454,0.7557513,0.0,67.44709897610922,5.682853996416407,5.682853996416407,18.603355479567018,1.0
400000,0.4261488,3.5131016,16.065334,1.3855402,0.07060076,0.00027658057,0.19219352,0.0046104565,0.7703315,0.26327407,0.75446904,0.0,66.45608108108108,5.449922461822309,5.449922461822309,17.841448706778564,1.0
420000,0.45196223,3.4962225,15.779399,1.2277932,0.07244102,0.00027538976,0.19179659,0.0045906496,0.76335263,0.25903577,0.76115113,0.0,63.639871382636656,5.562630228958874,5.562630228958874,16.328917769979565,1.0
440000,0.4721962,3.5700445,15.040833,1.5957402,0.0724398,0.00027420328,0.19140108,0.0045709135,0.73122054,0.2457238,0.7694935,0.0,66.125,5.6824389629251,5.6824389629251,16.7962063251797,1.0
460000,0.4519167,3.599741,14.062026,1.5097749,0.06891281,0.00027300752,0.1910025,0.0045510246,0.71830094,0.23812068,0.77328587,0.0,69.91696750902527,5.675558183583425,5.675558183583425,16.59276271606092,1.0
