Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
10000,1.5820264,-0.0684594,0.24886131,0.01010129,0.09990649,0.00029992466,0.19997488,0.009997491,0.08359985,1.5838565,499.0,-1.8237499530659989,-1.8237499530659989,4.945520285516977,1.0
20000,1.4628794,-0.12977597,0.8142587,0.008213946,0.095493175,0.00029977693,0.19992565,0.0099925725,0.060124848,1.4032,489.4166666666667,-0.734458367417877,-0.734458367417877,6.60572990650932,1.0
30000,1.3496485,-0.15813634,1.2603312,0.0078398045,0.09688623,0.00029962003,0.19987333,0.009987347,0.07058911,1.1273278,479.44444444444446,-0.6876111137163308,-0.6876111137163308,7.170739803049299,1.0
40000,1.2764195,-0.21707956,1.4619641,0.005623579,0.097021796,0.00029947102,0.19982365,0.009982383,0.07638272,0.8410846,499.0,-0.9288787674158812,-0.9288787674158812,8.077525599436326,1.0
50000,1.075393,-0.17278948,1.6663349,0.0073591014,0.09337025,0.00029932024,0.1997734,0.009977362,0.084784865,0.5672438,499.0,-0.9068333073001769,-0.9068333073001769,9.116158293353188,1.0
60000,1.0289823,-0.19131573,1.8249586,0.010299797,0.09475313,0.00029917102,0.19972363,0.0099723935,0.090327606,0.5185475,499.0,-0.7634241863746535,-0.7634241863746535,9.506913556294007,1.0
70000,0.98956126,-0.14895263,1.7328732,0.0070782513,0.093515545,0.00029902023,0.19967338,0.009967372,0.07275104,0.5163497,499.0,-0.5123888246922029,-0.5123888246922029,8.071099592579735,1.0
80000,0.94525975,-0.14317505,1.5827657,0.006120487,0.0994373,0.000298871,0.19962361,0.009962402,0.07501119,0.45742872,499.0,-0.2588787412440235,-0.2588787412440235,7.830615845593539,1.0
90000,0.97682714,-0.1268756,1.5521101,0.0065720626,0.09731484,0.00029872023,0.19957343,0.009957382,0.07333033,0.53509414,499.0,-0.4984999725388156,-0.4984999725388156,7.834282755851746,1.0
100000,0.9458517,-0.1070228,1.6041092,0.007872006,0.096900776,0.00029857107,0.1995237,0.009952416,0.07213827,0.5061466,481.2608695652174,-0.2615941439795753,-0.2615941439795753,7.459552614585213,1.0
110000,0.8357377,-0.14141737,1.4513404,0.009691415,0.09470081,0.00029842564,0.1994752,0.009947573,0.06222932,0.4752745,481.6111111111111,-0.40520359192871386,-0.40520359192871386,6.442762692769368,1.0
120000,0.79551685,-0.14272718,1.419125,0.0104648,0.09392527,0.00029827646,0.19942546,0.009942605,0.06251173,0.42376083,479.3478260869565,0.28953035311265424,0.28953035311265424,6.336846321821213,1.0
130000,0.80115217,-0.12643747,1.3543409,0.009984443,0.0961065,0.00029812555,0.1993752,0.009937583,0.0638574,0.42925754,496.6666666666667,0.47068421366183383,0.47068421366183383,6.705650003332841,1.0
140000,0.76611114,-0.022167305,1.3399662,0.015527715,0.100544125,0.00029797028,0.19932342,0.00993241,0.060530946,0.485227,449.6,0.46065340787172315,0.46065340787172315,5.8330255424976345,1.0
150000,0.730554,0.09328499,1.2847661,0.012264503,0.0971609,0.00029782538,0.19927512,0.009927585,0.05958413,0.41753414,460.2,1.4879122710737742,1.4879122710737742,5.787985682487488,1.0
160000,0.74473053,0.14881146,1.2677355,0.008711904,0.09782611,0.0002976789,0.1992263,0.0099227065,0.06091488,0.48900542,482.6818181818182,0.7041449780049531,0.7041449780049531,6.040924751240274,1.0
170000,0.69191384,0.20292386,1.2413032,0.012428465,0.10306743,0.00029752165,0.19917388,0.009917472,0.061269566,0.4660011,463.63157894736844,1.3272631313455732,1.3272631313455732,5.865701069957332,1.0
180000,0.61695343,0.22676131,1.2962021,0.014537743,0.09378897,0.00029736923,0.19912307,0.009912393,0.05899501,0.43744385,447.2608695652174,1.3193623107736525,1.3193623107736525,5.640591130308483,1.0
190000,0.57305026,0.27691326,1.2250494,0.0139160855,0.09838601,0.00029721943,0.19907314,0.009907408,0.060062725,0.3930771,442.5652173913044,1.8388985835177742,1.8388985835177742,5.48920309284459,1.0
200000,0.55641276,0.47834632,1.2157776,0.026389075,0.1004338,0.00029707467,0.19902487,0.009902585,0.05746522,0.38230312,373.18518518518516,2.194975329425048,2.194975329425048,4.514678843319416,1.0
210000,0.56199104,0.41424757,1.1561614,0.01314287,0.0948424,0.00029692554,0.19897518,0.009897619,0.05514974,0.3775311,446.72727272727275,2.0949365480669906,2.0949365480669906,5.095891750994182,1.0
220000,0.55422294,0.38453358,1.1540264,0.018568674,0.10175316,0.00029677537,0.19892512,0.009892619,0.05353741,0.3598303,375.77777777777777,2.2899642842821777,2.2899642842821777,4.302760115159409,1.0
230000,0.55885357,0.3810163,1.1266654,0.023839375,0.09541044,0.00029662036,0.19887346,0.009887458,0.05461808,0.37284556,395.76,2.2894533588178456,2.2894533588178456,4.439892739355564,1.0
240000,0.50177807,0.45713812,1.081365,0.015344232,0.0983116,0.00029647147,0.19882381,0.0098824985,0.05256797,0.3393259,412.88,2.107250021227325,2.107250021227325,4.582274767880638,1.0
250000,0.5211238,0.5103633,1.0434598,0.025650255,0.103286535,0.0002963203,0.19877344,0.009877464,0.050193712,0.3677765,324.6896551724138,2.479877823218703,2.479877823218703,3.4957860747973126,1.0
