Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
10000,1.1402061,-0.03770249,2.1677847,11.273889,0.102924585,0.0002999114,0.19997047,0.0099970475,1.4925541,0.401617,0.6148847,0.1744006,350.0,-2.2858471390015134,-2.2858471390015134,89.69746754070123,1.0
20000,0.8272372,-0.13560042,8.113322,8.698058,0.09765497,0.00029976998,0.19992332,0.009992341,1.1519061,0.3939416,0.63427234,0.13444597,377.962962962963,0.0015308160110618228,0.0015308160110618228,119.69984027632961,1.0
30000,0.6145341,-0.0031059778,11.961064,5.1875434,0.10148615,0.00029962126,0.19987375,0.009987388,1.0011792,0.33978236,0.67247164,0.10631402,482.65,-0.07379369783614363,-0.07379369783614363,119.22335421471368,1.0
40000,0.52555543,-0.08698647,14.42058,3.4732656,0.101843216,0.0002994708,0.19982359,0.009982376,0.91413474,0.3051865,0.69930536,0.08884447,478.40909090909093,-0.20671216103205967,-0.20671216103205967,117.54870222915302,1.0
50000,0.38665465,-0.091199934,15.792394,2.783892,0.10911869,0.00029932498,0.19977498,0.009977521,0.83761203,0.2745095,0.7246082,0.07757665,499.0,-0.48662967710859245,-0.48662967710859245,99.60775264104207,1.0
60000,0.3315399,-0.1262373,15.222537,2.4797354,0.10188544,0.000299178,0.199726,0.009972625,0.7769442,0.26088542,0.7479517,0.0701355,498.57142857142856,-0.6405151512643154,-0.6405151512643154,111.6852445656603,1.0
70000,0.3101835,-0.07036271,14.74071,3.6804564,0.11186581,0.00029902262,0.1996742,0.009967453,0.661555,0.22212845,0.7806931,0.07052794,499.0,-0.24066673560688892,-0.24066673560688892,86.91518011689186,1.0
80000,0.3018403,-0.041131563,16.475775,4.248305,0.11015354,0.0002988753,0.1996251,0.009962548,0.7370448,0.25674877,0.76055014,0.059925973,499.0,-0.2418788079680367,-0.2418788079680367,121.81429142301732,1.0
90000,0.32486293,-0.037783395,15.828382,4.3252997,0.10076005,0.00029872867,0.19957621,0.009957664,0.6809992,0.22955158,0.7703311,0.061980054,499.0,-0.4345555996729268,-0.4345555996729268,94.79840069678094,1.0
100000,0.28377548,-0.024188288,15.508922,4.936266,0.09787182,0.00029857302,0.19952434,0.009952482,0.6238189,0.20939687,0.792536,0.06936566,493.8181818181818,-0.40059094749052415,-0.40059094749052415,102.48256044699387,1.0
110000,0.12079451,-0.03814412,16.730864,4.555883,0.09501232,0.00029842727,0.19947575,0.009947627,0.6133157,0.2064358,0.794024,0.01780649833381176,499.0,-0.7545556330846416,-0.7545556330846416,102.62266923404403,1.0
120000,0.008130297,-0.1572902,12.030064,1.8421847,0.09944759,0.00029828158,0.1994272,0.009942776,0.38078353,0.12435644,0.8675593,0.0,499.0,-0.9950606789101254,-0.9950606789101254,59.69431817599318,1.0
130000,0.00037920082,-0.19453116,9.636267,3.5119429,0.098392814,0.00029812744,0.19937584,0.009937644,0.39870983,0.12950169,0.8658396,0.0,499.0,-0.9967778490649329,-0.9967778490649329,67.751479446681,1.0
140000,5.3291995e-05,-0.20682064,7.089601,2.4192595,0.096767016,0.00029797282,0.1993243,0.009932496,0.32232842,0.10229196,0.89409256,0.0,499.0,-0.9973334053700621,-0.9973334053700621,51.10545054992492,1.0
150000,2.4855008e-05,-0.20268436,6.374811,2.270596,0.094922505,0.00029782727,0.19927576,0.009927646,0.31999505,0.10193211,0.8920979,0.0,499.0,-0.9995556266771423,-0.9995556266771423,59.235179668809806,1.0
160000,2.2838281e-05,-0.20345217,5.1584826,2.8745246,0.09964702,0.00029768157,0.1992272,0.009922796,0.34051874,0.11224961,0.8865799,0.0,499.0,-0.9996061318299987,-0.9996061318299987,59.53333071111278,1.0
170000,7.605655e-05,-0.20700085,5.696682,16.579126,0.09242208,0.00029752744,0.1991758,0.009917663,0.35949755,0.10944842,0.8810105,0.0,499.0,-0.9995556266771423,-0.9995556266771423,52.16088102488882,1.0
180000,6.5823944e-05,-0.2077073,4.354363,2.525818,0.090112396,0.00029737287,0.19912428,0.009912516,0.31278476,0.10089387,0.8900442,0.0,499.0,-0.9996061318299987,-0.9996061318299987,68.0941357925873,1.0
190000,7.048218e-05,-0.20766994,5.8053803,15.872845,0.09632877,0.0002972273,0.19907576,0.0099076675,0.32685333,0.10061848,0.89039177,0.0,499.0,-0.9995556266771423,-0.9995556266771423,92.29974507374897,1.0
200000,4.6058085e-05,-0.2072808,5.4172406,8.237517,0.09350745,0.00029708154,0.19902718,0.009902816,0.31948754,0.100946575,0.8899196,0.0,499.0,-0.9996061318299987,-0.9996061318299987,67.18627307127991,1.0
210000,0.0005028936,-0.20555194,4.7099953,7.7275577,0.08887306,0.00029692744,0.1989758,0.009897683,0.29566008,0.09221644,0.89669394,0.0,499.0,-0.9973334049185117,-0.9973334049185117,47.59898587833676,1.0
220000,0.00022122859,-0.20575032,3.5329025,4.5635514,0.10176708,0.0002967729,0.19892427,0.009892535,0.24141182,0.074780434,0.9179592,0.0,499.0,-0.9946061332117427,-0.9946061332117427,58.136717309497975,1.0
230000,0.0001122212,-0.2129109,4.349954,17.38224,0.09655543,0.00029662726,0.19887576,0.009887687,0.27109095,0.079501316,0.9044684,0.0,499.0,-0.9962222940391965,-0.9962222940391965,73.59465796158959,1.0
240000,0.00012311238,-0.20642637,3.8244147,13.40606,0.099247865,0.00029648156,0.19882719,0.009882836,0.26435354,0.08217332,0.9111716,0.0,499.0,-0.9982424954121764,-0.9982424954121764,58.95762361302464,1.0
250000,6.0216662e-05,-0.20190276,4.219864,17.130823,0.094765455,0.00029632743,0.19877583,0.009877703,0.30600628,0.092007495,0.8938713,0.0,499.0,-0.9956667381856177,-0.9956667381856177,94.4430854426076,1.0
260000,4.9550687e-05,-0.20058247,3.6759217,7.983958,0.10013122,0.0002961729,0.19872428,0.009872556,0.23209861,0.06981769,0.91871136,0.0,499.0,-0.9973334046927366,-0.9973334046927366,49.580776779108085,1.0
270000,0.00012737734,-0.18047309,3.4631572,21.182064,0.09554294,0.00029602728,0.19867575,0.009867707,0.27802515,0.0812546,0.9048675,0.0,499.0,-0.9962222940391965,-0.9962222940391965,84.76975099281925,1.0
