Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
10000,1.5955395,-0.112326175,0.2282384,0.014181462,0.09821307,0.00029992466,0.19997488,0.009997491,0.0932548,1.5939729,499.0,-2.092499929247424,-2.092499929247424,5.616835236549377,1.0
20000,1.5197355,-0.24773793,0.7710458,0.00810861,0.09667514,0.00029978956,0.19992985,0.0099929925,0.07602094,1.3232485,499.0,-1.8660869423461997,-1.8660869423461997,8.514137229193812,1.0
30000,1.4264493,-0.29339415,1.4447845,0.0136303725,0.09929221,0.0002996397,0.19987991,0.009988002,0.09910625,0.92543393,499.0,-1.8105881277690916,-1.8105881277690916,11.123189750839682,1.0
40000,1.3465214,-0.33367497,1.7822218,0.0114620775,0.094721764,0.0002994896,0.19982986,0.009983003,0.09317664,0.8634254,499.0,-1.9708694200962782,-1.9708694200962782,10.652807935424473,1.0
50000,1.3101741,-0.40919998,1.8125994,0.014380525,0.10095836,0.00029931875,0.19977291,0.009977313,0.07976298,0.8081184,485.1875,-2.3960782485630583,-2.3960782485630583,9.147705739035326,1.0
60000,1.2747952,-0.33240154,1.7784369,0.012374642,0.10006618,0.0002991749,0.19972496,0.009972523,0.075425506,0.87730867,487.4166666666667,-0.8752916557714343,-0.8752916557714343,7.798481568694115,1.0
70000,1.108778,-0.21324864,1.7806278,0.0060583986,0.10287565,0.00029902993,0.19967666,0.009967695,0.08613592,0.6493105,499.0,-1.0574314014657455,-1.0574314014657455,9.240598370047177,1.0
80000,1.0205789,-0.22762045,1.8670413,0.005117806,0.107078135,0.00029887893,0.19962633,0.009962669,0.07718997,0.557476,499.0,-0.7468261147707539,-0.7468261147707539,8.761086406915084,1.0
90000,1.0533636,-0.21015091,1.7936691,0.005861721,0.10028129,0.00029872992,0.19957663,0.009957705,0.07577643,0.6031857,499.0,-0.9374313876580667,-0.9374313876580667,8.004856873961057,1.0
100000,0.9087397,-0.19536535,1.7318807,0.0064926264,0.10327521,0.00029857078,0.1995236,0.0099524055,0.07340275,0.45649996,490.3478260869565,-0.6372608798353568,-0.6372608798353568,7.916346850602523,1.0
110000,0.89593405,-0.03989833,1.642711,0.015599426,0.101774275,0.00029842753,0.19947582,0.009947635,0.07244654,0.4887547,419.7,0.494400027859956,0.494400027859956,6.533702105283737,1.0
120000,0.91961336,-0.014686394,1.4965328,0.01725505,0.090039305,0.00029828254,0.19942752,0.00994281,0.06529783,0.59678096,460.88,-0.07653324715793133,-0.07653324715793133,6.482518236637116,1.0
130000,0.8844259,-0.0125539815,1.4303511,0.0154118175,0.09405984,0.00029812974,0.1993766,0.00993772,0.064467035,0.5618635,414.9047619047619,0.4155556174616019,0.4155556174616019,5.7619338645821525,1.0
140000,0.8409358,0.042095184,1.3657467,0.010385279,0.09448862,0.00029797587,0.1993253,0.009932596,0.060383778,0.5616197,451.24,0.8628333437566956,0.8628333437566956,5.676427957291405,1.0
150000,0.7883221,0.10130196,1.196054,0.011110745,0.09491651,0.00029782258,0.1992742,0.009927492,0.05372119,0.54309046,454.95,1.04796828640004,1.04796828640004,5.229275520358767,1.0
160000,0.7648296,0.13733782,1.1643538,0.017521024,0.10105354,0.00029767232,0.19922408,0.009922488,0.05361078,0.51899016,412.7916666666667,1.067472230643034,1.067472230643034,4.573560697336991,1.0
170000,0.67568684,0.097498976,1.0746099,0.009285169,0.09408771,0.00029752086,0.19917363,0.009917443,0.048952434,0.44939125,478.0952380952381,0.6924762367492631,0.6924762367492631,4.979044871670859,1.0
180000,0.6228023,0.14421178,1.0943781,0.017462747,0.09773963,0.00029736862,0.19912286,0.0099123735,0.052798104,0.42005956,451.39130434782606,1.6667391764728918,1.6667391764728918,4.9102335455624955,1.0
190000,0.55954236,0.2831698,1.1204351,0.021591695,0.10098565,0.0002972238,0.1990746,0.009907552,0.049266707,0.3929334,426.45454545454544,1.6324243018911644,1.6324243018911644,4.504567138173363,1.0
200000,0.5498041,0.16937444,0.96925896,0.01213884,0.09511882,0.0002970772,0.19902575,0.00990267,0.04778988,0.37124676,467.72727272727275,1.3443939382718368,1.3443939382718368,4.591304150156,1.0
210000,0.5770926,0.21281132,0.9892098,0.009999446,0.0909694,0.00029692455,0.19897483,0.009897586,0.048665706,0.39423996,490.2631578947368,1.824877204373479,1.824877204373479,5.101374086188643,1.0
220000,0.6578084,0.1299631,1.1189537,0.012422274,0.09888888,0.00029677284,0.19892429,0.009892534,0.052663684,0.40673515,477.0833333333333,0.9476377182518658,0.9476377182518658,5.193088845066402,1.0
230000,0.578352,0.1955008,1.0770441,0.009966834,0.09220602,0.000296619,0.19887298,0.009887414,0.049805883,0.3787559,465.8421052631579,1.6509666341356932,1.6509666341356932,5.002976693958044,1.0
240000,0.5063037,0.267386,1.035544,0.015235182,0.09460919,0.00029647152,0.19882384,0.009882501,0.05109424,0.3378049,443.30434782608694,1.8914781885788492,1.8914781885788492,4.673312866331442,1.0
250000,0.5450721,0.21598795,1.0566698,0.017073087,0.09221839,0.00029632228,0.19877407,0.009877531,0.049924344,0.34727472,420.60869565217394,1.6656666666579742,1.6656666666579742,4.322808947103719,1.0
260000,0.5163168,0.2714805,1.0778241,0.0147890365,0.095172025,0.00029617362,0.19872457,0.009872581,0.049229074,0.3297144,453.1363636363636,1.9658939185636966,1.9658939185636966,4.796743910421025,1.0
270000,0.5024083,0.2063069,1.0236276,0.010145515,0.09847437,0.00029602312,0.19867438,0.0098675685,0.048155088,0.3363901,476.9047619047619,1.3803015980159952,1.3803015980159952,4.895774634111495,1.0
280000,0.549234,0.22317824,0.97760254,0.014006617,0.09838592,0.0002958733,0.19862443,0.00986258,0.04646428,0.36630523,431.5,1.8679583938016247,1.8679583938016247,4.110476153592269,1.0
290000,0.51052606,0.2940864,1.0031008,0.0193327,0.10004429,0.00029572513,0.19857505,0.009857646,0.046432294,0.34573686,457.9047619047619,2.333301625524958,2.333301625524958,4.4570893957501365,1.0
300000,0.4847132,0.18592621,0.98010415,0.009096851,0.09150531,0.00029557568,0.19852522,0.009852668,0.044448514,0.32033303,492.2,1.2410166956484319,1.2410166956484319,4.671481961011887,1.0
310000,0.48603472,0.24773012,1.0094018,0.019863099,0.09644783,0.00029542716,0.1984757,0.009847723,0.047677577,0.33789915,404.4230769230769,1.4064103064055626,1.4064103064055626,3.916697916932977,1.0
320000,0.49966702,0.19848727,1.0062233,0.015192391,0.093004316,0.0002952764,0.19842546,0.009842703,0.04442809,0.3243227,448.4761904761905,1.3701111138576554,1.3701111138576554,4.194677524623417,1.0
330000,0.4410099,0.28053308,1.0113629,0.025943555,0.09793176,0.0002951266,0.19837554,0.009837716,0.045886606,0.29247674,369.14285714285717,2.0080951768904924,2.0080951768904924,3.5157025900802443,1.0
340000,0.50283074,0.22863942,1.0724624,0.0132043995,0.0981129,0.0002949778,0.19832593,0.009832758,0.04913254,0.30537635,478.04761904761904,2.0087936846982863,2.0087936846982863,4.884534073727472,1.0
350000,0.52460635,0.31919205,1.0438164,0.016774612,0.095983475,0.0002948274,0.19827577,0.00982775,0.0474699,0.3373552,406.8076923076923,1.8295599954761566,1.8295599954761566,4.007264621928334,1.0
360000,0.5101969,0.337438,1.0522742,0.019627532,0.10161876,0.00029468042,0.1982268,0.009822858,0.048150178,0.3275629,423.6521739130435,2.0669444762170315,2.0669444762170315,4.274217337369919,1.0
370000,0.52904,0.33572507,1.0308142,0.018452475,0.094622366,0.00029452489,0.19817497,0.009817677,0.050066818,0.34148818,416.9583333333333,2.4416363950480116,2.4416363950480116,4.3969846191731365,1.0
380000,0.5737358,0.3466864,1.0341065,0.030596636,0.09403504,0.00029436938,0.19812314,0.0098125,0.048346724,0.37349623,357.14814814814815,1.3786782044275054,1.3786782044275054,3.6655499863213508,1.0
390000,0.5271192,0.27803183,1.0449629,0.025223322,0.10060719,0.00029422189,0.19807395,0.009807588,0.04740789,0.34912995,380.2,1.5817466957122088,1.5817466957122088,3.9142386043071746,1.0
400000,0.5006082,0.43666807,1.0253643,0.01558343,0.1049594,0.00029407325,0.19802444,0.009802638,0.044858262,0.30554652,410.92,2.608533305078745,2.608533305078745,3.8650614714622495,1.0
410000,0.4932739,0.44898844,0.9592003,0.012412531,0.093465984,0.00029392567,0.19797522,0.009797724,0.044536605,0.28342977,462.3636363636364,2.385174586659386,2.385174586659386,4.1714319842202325,1.0
420000,0.5067755,0.419358,0.9576892,0.013920316,0.093295366,0.00029377657,0.19792551,0.009792758,0.047304228,0.2878844,398.12,2.5783589759555,2.5783589759555,3.9967790291859555,1.0
430000,0.4625614,0.43146285,1.0114416,0.023724873,0.096387096,0.00029362767,0.19787589,0.009787801,0.051638763,0.2744188,388.1923076923077,2.4030666810274126,2.4030666810274126,4.113959497213363,1.0
440000,0.40737325,0.4663442,1.0109519,0.017480485,0.09741323,0.0002934797,0.19782656,0.009782874,0.046473134,0.21724266,392.61538461538464,2.619346165814652,2.619346165814652,3.892534049657675,1.0
450000,0.43159536,0.3614564,1.0333577,0.010768937,0.094804384,0.00029333096,0.19777697,0.009777919,0.05033459,0.2628912,476.25,2.7911110930144787,2.7911110930144787,5.004622972437313,1.0
460000,0.45637375,0.36817095,1.0522145,0.015491782,0.10198588,0.0002931793,0.19772644,0.009772871,0.04863183,0.26088613,455.2608695652174,2.191188365302008,2.191188365302008,4.575594385680945,1.0
470000,0.44371134,0.3421897,0.99782765,0.006308688,0.094678454,0.00029302773,0.1976759,0.009767823,0.046520606,0.26257253,499.0,2.172092550330692,2.172092550330692,4.907017668088277,1.0
480000,0.42915758,0.36089736,0.99296653,0.018295323,0.09649125,0.0002928762,0.19762541,0.009762779,0.047095608,0.24860398,420.0,2.2858749731288603,2.2858749731288603,4.015402870407949,1.0
490000,0.43174696,0.33483562,0.9985747,0.012034725,0.09943923,0.00029272278,0.19757426,0.009757669,0.04785639,0.2591341,457.30434782608694,2.402999963125457,2.402999963125457,4.631370950328267,1.0
500000,0.4379566,0.46163028,1.0314308,0.022293374,0.092632465,0.00029257382,0.1975246,0.009752709,0.051354002,0.23357874,362.17857142857144,2.2726666613469004,2.2726666613469004,3.8432944630169206,1.0
510000,0.42766443,0.45019045,1.0632249,0.031155774,0.101331055,0.0002924291,0.19747633,0.009747888,0.050420895,0.2496394,396.64,1.51312014400959,1.51312014400959,4.296768342852593,1.0
520000,0.42323077,0.4948288,1.0297235,0.01947992,0.10048065,0.00029227632,0.19742545,0.009742802,0.049328234,0.24214184,369.5357142857143,2.343047616205045,2.343047616205045,3.8622368403843472,1.0
530000,0.4047536,0.35697052,0.9751953,0.020231329,0.09278897,0.000292127,0.19737566,0.009737829,0.04607497,0.23811401,398.3333333333333,1.6504266544431447,1.6504266544431447,3.828380484506488,1.0
540000,0.4623084,0.3805435,0.9373683,0.028200487,0.100049675,0.0002919748,0.19732493,0.009732759,0.04607353,0.2629109,338.42857142857144,2.100916669437928,2.100916669437928,3.2447641736694743,1.0
550000,0.4233706,0.38219136,0.9465725,0.021555282,0.09370979,0.00029181724,0.19727242,0.0097275125,0.046882294,0.23008053,431.8333333333333,3.1553888611185053,3.1553888611185053,4.217906131098668,1.0
560000,0.40445095,0.5506815,0.9701533,0.016786784,0.096091196,0.00029167556,0.19722518,0.009722795,0.04543226,0.23979391,392.7692307692308,3.024306630641222,3.024306630641222,3.7849248057603835,1.0
