Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Is Training
10000,1.58078,-0.055286065,0.25945005,0.7710853,499.0,7.426029,0.40865365,0.00029991698,0.19997232,0.009997235,0.23470657,1.6032311,3.7803519,0.36053643,0.7012477,0.22995405,-9.083540093153715,-9.083540093153715,9.686681240797043,99.87125205993652,1.0
20000,1.444037,0.33950773,1.0232332,4.7986536,499.0,12.331361,0.42998838,0.0002997856,0.19992857,0.009992862,0.065239474,1.5484847,1.8306022,0.28450942,0.73845917,0.1659007,6.446159925797711,6.446159925797711,7.012960097064143,152.33422994613647,1.0
30000,1.1370429,0.8160488,1.015558,8.383746,499.0,4.696562,0.48000887,0.00029963584,0.19987859,0.009987872,0.037659284,1.2985456,1.3264666,0.25829023,0.75321406,0.1383336,7.804627813617973,7.804627813617973,3.7678744004053226,138.13684570088105,1.0
40000,1.1440088,0.8924159,0.85654306,10.575978,459.25,11.565197,0.4920729,0.00029948895,0.19982964,0.009982982,0.037271075,1.1497443,1.4166738,0.31308,0.71144724,0.12577268,5.678736824115428,5.678736824115428,3.4595923788147047,157.72362452745438,1.0
50000,1.1666646,1.0135775,0.7435539,12.0611105,465.3076923076923,5.365098,0.48881263,0.0002993254,0.19977513,0.009977533,0.031429186,1.1857593,1.1375746,0.2894504,0.72541606,0.11315541,8.957143220873107,8.957143220873107,3.0197571210917973,125.15920632226127,1.0
60000,1.1514065,1.4337877,0.8004423,13.0428295,411.9583333333333,3.704104,0.43854696,0.00029916107,0.19972035,0.009972064,0.03588964,1.2061127,1.0708003,0.28597513,0.7185817,0.10681979,8.208954871378161,8.208954871378161,3.138718890195543,125.67850817333569,1.0
70000,1.1860236,1.7464628,0.78054494,14.510667,378.75,4.070717,0.45514527,0.00029901863,0.19967288,0.009967321,0.03561616,1.1839108,1.0611966,0.30669323,0.6990693,0.10351306,8.945679644191706,8.945679644191706,2.803740138532939,107.11934561199612,1.0
80000,1.1834604,1.8741094,0.82045054,15.127535,387.8076923076923,3.209608,0.47332826,0.00029887605,0.19962533,0.009962572,0.039723944,1.1965258,0.9828094,0.2968564,0.71802396,0.102384545,8.53822674870491,8.53822674870491,3.0724061119556425,102.65266422271729,1.0
90000,1.211042,1.7022986,0.78234607,14.823653,382.6818181818182,2.9888678,0.43523118,0.00029873452,0.19957817,0.009957859,0.035235792,1.1723025,0.9216204,0.2902436,0.7194485,0.0995878,7.238090200582519,7.238090200582519,2.9239779506595087,111.04910143063618,1.0
100000,1.161175,1.9077073,0.8110765,16.875843,389.2,5.2111673,0.45833182,0.00029857387,0.19952463,0.00995251,0.0364209,1.1565063,1.0143921,0.31995112,0.7015627,0.10761776,9.135333793962168,9.135333793962168,2.831610628852138,112.68875127368503,1.0
110000,1.080722,1.8734413,0.8125029,17.830101,441.12,2.9853315,0.45280975,0.0002984127,0.1994709,0.009947141,0.036245532,1.0267537,0.9395926,0.28752264,0.7201252,0.029262050986289978,9.71800044711147,9.71800044711147,3.276628450268791,116.85148542267936,1.0
120000,1.1972755,2.02641,0.8371819,17.592737,426.4,2.235908,0.4421061,0.00029826938,0.1994231,0.00994237,0.040452935,1.0805441,0.9358791,0.29392412,0.714878,0.0,11.493827386647462,11.493827386647462,3.459565750956535,115.30238300323487,1.0
130000,1.1143312,2.1036992,0.8495421,15.547225,471.3809523809524,2.0485294,0.41782022,0.0002981229,0.1993743,0.009937492,0.034742855,1.1033043,0.8550737,0.27419186,0.7368863,0.0,11.82248549332673,11.82248549332673,3.3685895163904536,116.19906369122592,1.0
140000,1.1267816,2.206149,0.8230346,18.478842,380.72,2.0563133,0.40453988,0.0002979789,0.19932628,0.009932697,0.040338054,1.0427876,0.92705035,0.28800875,0.71675044,0.0,9.311692791722285,9.311692791722285,3.1516107565795,105.07007582371051,1.0
150000,1.1112067,2.3452423,0.86864233,16.599035,426.42857142857144,2.739209,0.42542163,0.0002978219,0.19927397,0.009927469,0.037057776,1.0154588,0.9104493,0.2880258,0.71096975,0.0,6.743152258769524,6.743152258769524,3.229405116120523,107.99905039505525,1.0
160000,1.1175073,2.5974166,0.88195854,15.747172,434.5,1.3392695,0.3372249,0.0002976663,0.19922209,0.0099222865,0.03444974,1.0387822,0.8809713,0.28354913,0.71485746,0.0,11.3909033969976,11.3909033969976,2.975291134323925,102.4070173042516,1.0
170000,1.1176206,2.651987,0.8709942,17.316963,392.25,1.7110729,0.38228488,0.00029752328,0.19917442,0.009917524,0.03713141,1.0023918,0.8875017,0.28954703,0.7235159,0.0,10.743653457417773,10.743653457417773,3.0064250389114022,106.05609259009361,1.0
180000,1.0129625,2.768664,0.9040265,16.869452,407.5833333333333,2.4217858,0.40498164,0.00029738687,0.19912899,0.009912983,0.037006017,0.96282953,0.92316103,0.2943054,0.70772886,0.0,10.71878260316757,10.71878260316757,3.0783250492352705,107.76432670538242,1.0
190000,1.1035764,2.6777656,0.8822947,17.004412,409.42857142857144,1.6474193,0.41260427,0.00029722933,0.19907643,0.0099077355,0.03689777,0.9992275,0.88033074,0.2825913,0.7152952,0.0,7.7678265808069185,7.7678265808069185,3.156945619246234,106.39649651361549,1.0
200000,1.0546092,2.7722542,0.9036622,17.368078,368.38461538461536,1.5104084,0.36424887,0.00029707508,0.19902502,0.009902598,0.037764266,0.9919282,0.9121767,0.30241117,0.7012339,0.0,9.70230999865037,9.70230999865037,2.7446536755056252,98.9870962543147,1.0
210000,1.1095606,2.8244524,0.94174623,18.204565,339.8333333333333,1.1311023,0.33027247,0.00029692138,0.19897377,0.009897483,0.038788643,1.0355911,0.90707237,0.30484205,0.7050418,0.0,11.43122681238622,11.43122681238622,2.7992103632007326,87.68704004106777,1.0
220000,1.1362847,3.0504572,0.89523023,16.742449,323.1034482758621,1.7557012,0.36838284,0.0002967657,0.19892187,0.009892298,0.040356606,1.0135972,0.8811798,0.29634804,0.71926713,0.0,14.087833887307594,14.087833887307594,2.813458205542217,91.45521678129832,1.0
230000,1.0475737,3.3024871,0.83402044,18.906574,283.44736842105266,1.7845516,0.36427006,0.00029662362,0.19887455,0.009887567,0.03749755,1.0012324,0.96801454,0.33495396,0.68186295,0.0,9.972658097139886,9.972658097139886,1.9933585185381408,76.43476973353205,1.0
240000,0.9691523,3.5619097,0.8542631,17.392483,306.42857142857144,1.3764324,0.3844273,0.00029647737,0.19882579,0.009882696,0.035601616,0.88660616,0.881477,0.29655161,0.7083113,0.0,12.5178502312591,12.5178502312591,2.3626861297074826,80.15672222741189,1.0
250000,0.98791665,3.8137505,0.89948255,15.595031,363.5806451612903,1.3720795,0.35735,0.00029633095,0.19877699,0.0098778205,0.038641077,0.93806744,0.90763056,0.30234826,0.70435935,0.0,18.638548245354155,18.638548245354155,2.704004390298256,85.27195589670113,1.0
260000,0.9707576,4.238665,0.8607514,15.472196,320.14814814814815,1.3267282,0.35180578,0.00029618078,0.19872692,0.00987282,0.03587226,0.9236896,0.8915256,0.3042355,0.70612603,0.0,16.34955289401114,16.34955289401114,2.4874805784784257,87.03672195971012,1.0
270000,0.96635646,4.312776,0.88065064,15.803116,291.02941176470586,1.2693764,0.38280645,0.00029603587,0.19867861,0.009867994,0.037713308,0.89944875,0.9037803,0.30789095,0.7029403,0.0,15.933344461757576,15.933344461757576,2.22252699741247,70.4415489399072,1.0
