Steps,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
20000,10.747193,39.24591,1.3808123,6.548335,0.049030196,0.000297756,0.19925201,0.004962675,3.3097167,0.30598968,0.75896287,0.11761503,799.0,33.15,33.15,275.70217482447623,1.0
30000,9.425499,38.674904,1.348333,2.4278128,0.052242618,0.00029625598,0.19875202,0.004937724,1.2544737,0.2725409,0.8069018,0.112649485,None,None,None,None,1.0
40000,7.79805,37.080956,1.3186189,2.3047104,0.04690366,0.000294744,0.19824801,0.0049125757,0.8207923,0.2360715,0.83482105,0.10902724,799.0,34.4,34.4,278.8697470188141,1.0
50000,6.5000644,33.7461,1.2858629,2.1610663,0.046912573,0.00029326632,0.19775544,0.004887996,0.6993313,0.21803842,0.8493344,0.10454316,799.0,40.5,40.5,214.68054513931276,1.0
60000,5.8091135,30.394247,1.2587236,2.0738645,0.042936936,0.000291744,0.19724801,0.004862675,0.62397563,0.20042679,0.8616214,0.102222666,None,None,None,None,1.0
70000,5.311603,27.711708,1.2293173,1.3543221,0.050351445,0.00029024915,0.1967497,0.0048378105,0.56624615,0.18899964,0.86781466,0.09927262,799.0,31.0,31.0,177.93025062084197,1.0
80000,4.42514,24.692701,1.2044114,0.89121467,0.066724524,0.00028876803,0.19625601,0.0048131743,0.5320281,0.1773863,0.88187385,0.097237974,799.0,24.263157894736842,24.263157894736842,171.31427950608102,1.0
90000,4.068399,22.976242,1.1804054,0.8009469,0.05204483,0.00028723202,0.195744,0.0047876253,0.5057045,0.16622975,0.88159317,0.09477038,None,30.0,30.0,160.55901288986206,1.0
100000,3.7876287,20.894728,1.1510726,0.79773885,0.05727221,0.00028575602,0.195252,0.0047630747,0.50422454,0.16951907,0.87617385,0.092894934,799.0,21.65,21.65,151.5892760515213,1.0
110000,3.4847777,20.20889,1.1231732,0.6279821,0.07107022,0.000284256,0.19475201,0.0047381246,0.48320347,0.16131628,0.8765265,0.09076121,None,None,None,None,1.0
120000,2.1846693,21.465153,1.096603,2.1686926,0.14031729,0.00028274403,0.19424799,0.0047129747,0.6989253,0.16869366,0.904542,0.09677537,799.0,20.45,20.45,156.0690705060959,1.0
130000,1.3947955,20.700886,1.0730952,1.0268577,0.06987337,0.00028126632,0.19375543,0.0046883957,0.45822963,0.15423009,0.8970396,0.08785045,799.0,7.0,7.0,157.42176187038422,1.0
140000,1.3132082,19.614565,1.0526702,1.0621895,0.045974396,0.00027974404,0.193248,0.0046630753,0.44899473,0.15032169,0.8901076,0.08625062,None,None,None,None,1.0
150000,1.3779222,18.813444,1.0261111,0.7265649,0.0548082,0.00027824915,0.19274971,0.004638211,0.4534583,0.14715317,0.8889189,0.08461136,799.0,11.1,11.1,132.91387741565705,1.0
160000,1.1634668,17.71275,0.9932954,0.44294834,0.049463365,0.000276768,0.192256,0.004613574,0.43582502,0.14193553,0.8867589,0.082329735,799.0,12.105263157894736,12.105263157894736,136.00986721641138,1.0
170000,1.2223443,16.802824,0.95783424,0.33103374,0.056001075,0.00027523199,0.19174401,0.0045880256,0.41239443,0.13269965,0.88711685,0.08077739,None,5.0,5.0,139.90993642807007,1.0
180000,0.9545259,14.821454,0.92188525,0.26746714,0.045525327,0.000273756,0.191252,0.0045634746,0.40475065,0.12735608,0.88545907,0.0788814,799.0,7.45,7.45,115.45194880962372,1.0
190000,0.82200164,14.120649,0.88848585,0.18047683,0.045617618,0.00027225603,0.19075203,0.004538525,0.39607063,0.121555604,0.8886508,0.077579364,None,None,None,None,1.0
200000,0.54879284,14.200698,0.8571137,0.19260876,0.048170593,0.00027074403,0.19024801,0.0045133755,0.38662022,0.11875674,0.88927305,0.076318815,799.0,4.4,4.4,110.6266020655632,1.0
210000,0.48535705,13.670957,0.8259965,0.10895431,0.0489205,0.00026926628,0.18975542,0.004488796,0.38158792,0.1159376,0.88832873,0.075222954,799.0,1.8,1.8,106.06134362220764,1.0
220000,0.3141955,12.706406,0.7963752,0.11653831,0.0536237,0.000267744,0.189248,0.004463475,0.37817085,0.112779886,0.8889397,0.07437794,None,None,None,None,1.0
230000,0.2531811,11.877748,0.76662993,0.08571214,0.04274988,0.0002662492,0.18874972,0.0044386103,0.3706348,0.10606969,0.88943607,0.07342181,799.0,0.55,0.55,94.57337709665299,1.0
240000,0.1275939,10.846937,0.7378277,0.15079558,0.054826997,0.00026476802,0.188256,0.0044139745,0.38253474,0.108144924,0.887089,0.07277624,799.0,0.7894736842105263,0.7894736842105263,82.04879610162033,1.0
250000,0.26560014,11.207379,0.70980483,0.10960811,0.04908193,0.000263232,0.187744,0.0043884255,0.35507962,0.10167138,0.88952106,0.07193194,None,0.0,0.0,106.45014476776123,1.0
260000,-0.04085956,10.507564,0.67847955,0.087297544,0.055491798,0.000261756,0.187252,0.004363875,0.34983277,0.09911238,0.8925965,0.071180835,799.0,0.35,0.35,85.86706383228302,1.0
270000,-0.18684673,10.443719,0.6483428,0.08062593,0.049253162,0.00026025603,0.186752,0.0043389243,0.35314012,0.09724791,0.89178306,0.07044421,None,None,None,None,1.0
280000,-0.03376276,10.102455,0.62103826,0.058082163,0.04963071,0.00025874402,0.18624799,0.004313775,0.335691,0.09160757,0.8935294,0.06968348,799.0,0.05,0.05,82.78093781471253,1.0
