Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
10000,1.5762094,-0.1595043,0.5973353,0.021403883,0.10014774,0.00029992178,0.19997393,0.009997396,0.10793798,1.5758083,833.0,-2.062999597750604,-2.062999597750604,12.9111756503582,1.0
20000,1.43176,-0.28744718,1.2935131,0.016221724,0.10878159,0.00029977615,0.19992538,0.009992545,0.106329836,1.0771178,832.0,-3.2771997172385454,-3.2771997172385454,17.367246532440184,1.0
30000,1.2751236,-0.3148195,1.9737756,0.010275311,0.09537128,0.0002996306,0.19987689,0.009987697,0.10333449,0.7773386,832.0,-2.279599690902978,-2.279599690902978,19.378539299964906,1.0
40000,1.2266885,-0.24940199,2.102437,0.009582771,0.09892953,0.00029947484,0.19982496,0.009982511,0.09862865,0.7296025,825.8181818181819,-1.615963401272893,-1.615963401272893,17.51314469900998,1.0
50000,1.2832898,-0.08582711,2.3463893,0.055484828,0.10460869,0.00029932012,0.19977339,0.009977358,0.09677068,0.8679411,805.6315789473684,-0.24027335957476967,-0.24027335957476967,17.64160697083724,1.0
60000,1.079005,-0.17044502,2.122311,0.011137361,0.091403835,0.00029917402,0.19972467,0.009972493,0.08152588,0.4934881,832.8,-2.5878397707827387,-2.5878397707827387,14.928289866447448,1.0
70000,1.0642012,-0.17935042,1.9611598,0.015509263,0.09457376,0.00029902902,0.19967635,0.009967664,0.08198099,0.4791778,795.4545454545455,-1.088999779386954,-1.088999779386954,13.862038606947118,1.0
80000,1.1402298,-0.04405449,1.8223512,0.031657685,0.100643426,0.00029887247,0.19962415,0.009962452,0.07551816,0.71436405,760.3076923076923,1.6639541370364337,1.6639541370364337,13.198203515547972,1.0
90000,1.1004235,0.097069405,1.6570238,0.052669555,0.102259025,0.0002987232,0.19957438,0.009957482,0.06658482,0.79487693,704.2666666666667,1.5143736578524112,1.5143736578524112,9.782449481884639,1.0
100000,1.0631384,0.32938373,1.4990501,0.110324845,0.10293178,0.00029857806,0.19952601,0.009952649,0.06524567,0.7207352,538.0952380952381,4.467028849270372,4.467028849270372,7.637362727097103,1.0
110000,0.9971752,0.4655436,1.3667285,0.12973388,0.09311656,0.00029842978,0.19947658,0.009947711,0.061551053,0.67136997,475.27777777777777,4.910233626400845,4.910233626400845,6.39236514042649,1.0
120000,0.86701566,0.31781778,1.2886063,0.13067186,0.10015224,0.00029827433,0.19942477,0.009942536,0.062203873,0.6230973,640.4705882352941,4.083647416247165,4.083647416247165,8.217633289449354,1.0
130000,0.78364754,0.40613028,1.2641951,0.11441643,0.102297544,0.00029811752,0.19937252,0.009937313,0.059255168,0.5174982,537.9473684210526,4.3017371571377705,4.3017371571377705,6.926646171039657,1.0
140000,0.8052411,0.86180377,1.2267886,0.29169855,0.1016365,0.0002979693,0.19932309,0.0099323755,0.058932263,0.592954,310.53125,6.2698252555856016,6.2698252555856016,3.8344372217543423,1.0
150000,0.75158817,1.2193489,1.1914738,0.2519715,0.09505052,0.0002978224,0.19927414,0.009927486,0.055202715,0.58224326,231.075,6.4597050576412585,6.4597050576412585,2.7387524025980383,1.0
160000,0.6877436,1.3778088,1.1149144,0.22215834,0.099615805,0.0002976733,0.19922441,0.00992252,0.0520509,0.52164555,274.64102564102564,6.012497642101386,6.012497642101386,2.993764293499482,1.0
170000,0.6564411,1.5353984,1.1186461,0.26409432,0.098981805,0.00029752214,0.19917405,0.009917486,0.05636394,0.49042585,233.2,6.443405109643936,6.443405109643936,2.7033089636825025,1.0
180000,0.6522542,1.2637588,1.1024314,0.20403549,0.09562409,0.00029737514,0.19912505,0.009912591,0.052914985,0.4590446,323.3529411764706,6.004270826028112,6.004270826028112,3.5733180422993267,1.0
190000,0.5984091,1.5084268,1.0978501,0.29679132,0.10029554,0.0002972255,0.19907516,0.009907608,0.05305776,0.41884273,222.0681818181818,6.241009431311774,6.241009431311774,2.4144450143672698,1.0
200000,0.5226917,1.5864247,1.0766587,0.2682513,0.10301964,0.00029706836,0.19902278,0.009902376,0.05253141,0.3500984,196.94230769230768,5.989471766864881,5.989471766864881,2.2212822071083314,1.0
210000,0.5016742,1.7068988,1.0523938,0.2503962,0.099698156,0.00029692135,0.19897379,0.009897482,0.05041945,0.39268276,188.89361702127658,5.927826060711042,5.927826060711042,1.9489052406633678,1.0
220000,0.48080808,1.2794207,1.0215452,0.20298068,0.101852566,0.0002967728,0.19892427,0.009892534,0.04969172,0.33592087,302.27777777777777,5.861740707539374,5.861740707539374,3.1717014757765307,1.0
230000,0.50894946,2.0800798,1.057569,0.40142667,0.0976845,0.00029662636,0.19887546,0.009887656,0.051806457,0.37876862,136.94666666666666,6.495110802843261,6.495110802843261,1.4335243221674416,1.0
240000,0.47163975,2.1626413,1.0371053,0.27002394,0.098393,0.0002964796,0.19882652,0.00988277,0.048597556,0.34452507,178.01724137931035,6.8032069903123995,6.8032069903123995,1.7786053399844417,1.0
250000,0.50607055,2.5753293,1.0647109,0.31975633,0.09828285,0.00029632478,0.19877492,0.009877614,0.04789333,0.3639149,120.71951219512195,6.665175647281746,6.665175647281746,1.2383308884256132,1.0
260000,0.53972614,2.4955266,0.9684969,0.29159886,0.09633458,0.00029617094,0.19872363,0.009872491,0.04269218,0.4056059,139.1492537313433,6.7455851512043665,6.7455851512043665,1.276583059454587,1.0
270000,0.52715814,2.6138616,0.91544265,0.2848611,0.09668084,0.0002960247,0.19867489,0.009867622,0.047712654,0.38586652,150.43055555555554,6.600405495664845,6.600405495664845,1.433561666371071,1.0
280000,0.49188587,2.5954292,0.9110668,0.28844923,0.09898273,0.0002958808,0.19862694,0.00986283,0.045280173,0.3707059,143.2537313432836,7.0203164189206015,7.0203164189206015,1.3455881783877737,1.0
290000,0.40269595,2.9354863,0.9801598,0.3237526,0.09615673,0.00029572612,0.19857538,0.009857679,0.04859503,0.29585186,101.90721649484536,6.633063878806443,6.633063878806443,1.0436409313577353,1.0
300000,0.42341414,2.9115858,1.0049689,0.29085013,0.09880746,0.0002955722,0.19852406,0.009852553,0.04900554,0.29984748,123.34146341463415,7.004419553207188,7.004419553207188,1.2438814443331667,1.0
310000,0.40504935,2.8040512,0.9628241,0.3217843,0.10053662,0.00029542786,0.19847596,0.009847746,0.04392596,0.28950712,131.72727272727272,6.463297302810181,6.463297302810181,1.236927070017708,1.0
320000,0.3791762,2.428053,0.9059144,0.35005367,0.1003981,0.00029527987,0.19842662,0.009842818,0.04386171,0.2863773,140.08219178082192,6.359572537370945,6.359572537370945,1.2987924178373325,1.0
330000,0.3813955,2.7882805,0.9249204,0.26858407,0.095590755,0.00029512672,0.19837557,0.009837719,0.045016862,0.28393847,107.4,6.507111133469476,6.507111133469476,0.9957067030585475,1.0
340000,0.34404093,2.9198792,0.91173595,0.27921072,0.096794024,0.00029497233,0.1983241,0.009832578,0.042191412,0.2496674,118.21428571428571,6.939631279692592,6.939631279692592,1.0247590126671704,1.0
350000,0.39792764,3.077468,0.93254423,0.32358894,0.09714453,0.00029482527,0.19827507,0.00982768,0.044577766,0.29508722,105.23711340206185,6.881135328388256,6.881135328388256,1.013466512351626,1.0
360000,0.3863404,3.0513556,0.9484122,0.24539942,0.094410196,0.00029467576,0.19822526,0.009822702,0.041821793,0.27161905,109.4235294117647,6.433623847443544,6.433623847443544,0.9419460434444427,1.0
370000,0.38534576,3.0344434,0.88997537,0.271563,0.0993988,0.0002945283,0.19817609,0.009817791,0.041995917,0.27456534,124.63529411764706,6.839684799686074,6.839684799686074,1.100853606313467,1.0
380000,0.38153154,3.2846186,0.8460466,0.29099652,0.09820576,0.00029437328,0.19812441,0.009812629,0.040629193,0.29453915,94.76470588235294,6.992678367222349,6.992678367222349,0.7919435031237263,1.0
390000,0.37688607,3.2529404,0.82168853,0.27045888,0.09568592,0.0002942184,0.19807279,0.009807471,0.041719444,0.27036932,120.42857142857143,6.995128622733145,6.995128622733145,0.9902041286917492,1.0
400000,0.33171445,3.3016164,0.8287536,0.30480513,0.099388205,0.00029407066,0.19802357,0.009802554,0.041704513,0.23120372,100.12765957446808,7.2738426259193725,7.2738426259193725,0.8976730167112769,1.0
410000,0.2874114,3.2108061,0.83316696,0.29617763,0.093992144,0.00029392328,0.19797443,0.009797645,0.040623795,0.21753633,110.38297872340425,6.913063938343066,6.913063938343066,0.9403334749624768,1.0
420000,0.31026483,2.9326282,0.86308396,0.2063005,0.10167196,0.00029377395,0.19792467,0.0097926725,0.041301895,0.2013817,119.73333333333333,6.675056054492791,6.675056054492791,1.0590652128060658,1.0
430000,0.35008895,3.1349277,0.87493384,0.3621331,0.09420309,0.0002936261,0.19787535,0.009787749,0.04051262,0.24910252,107.06862745098039,6.8492725766309555,6.8492725766309555,0.9015953299114663,1.0
440000,0.3689426,3.2471077,0.8567113,0.30654797,0.10518809,0.00029347884,0.19782628,0.009782846,0.039884526,0.24663176,121.16455696202532,7.441522639855975,7.441522639855975,1.0175107599003241,1.0
450000,0.3405901,3.4220383,0.8911494,0.30204785,0.09926914,0.00029332493,0.19777498,0.009777721,0.04333933,0.22948647,118.0,7.326728486079013,7.326728486079013,1.0745384416409902,1.0
460000,0.37692997,3.488617,0.9168781,0.32717514,0.09879911,0.00029317403,0.19772466,0.009772694,0.041898612,0.23335372,100.22916666666667,7.379477127474577,7.379477127474577,0.8723560824097755,1.0
470000,0.39794552,3.1670554,0.8972095,0.3155052,0.09526034,0.0002930228,0.19767426,0.009767659,0.039060455,0.2768287,142.8695652173913,7.5956958658973,7.5956958658973,1.1796553309102529,1.0
480000,0.35553914,3.161288,0.8790398,0.29625574,0.09226544,0.00029287091,0.19762366,0.009762601,0.041334875,0.22069779,117.7439024390244,7.280856260388136,7.280856260388136,1.0095093089678302,1.0
490000,0.3567138,3.2636774,0.8652512,0.31308544,0.095934175,0.00029272574,0.19757526,0.009757767,0.03913434,0.22332066,127.97560975609755,7.709966020050981,7.709966020050981,1.0540170995972868,1.0
500000,0.35777125,3.2517018,0.81333315,0.31306314,0.100433685,0.0002925798,0.1975266,0.009752907,0.03825009,0.20459585,153.54545454545453,8.300851597732892,8.300851597732892,1.243305195997836,1.0
510000,0.318216,3.2461452,0.8058573,0.33469352,0.09608053,0.00029243118,0.19747704,0.009747957,0.03858066,0.20839971,124.45333333333333,7.657481220176418,7.657481220176418,0.9848705048773538,1.0
520000,0.3119323,3.1418765,0.81555206,0.2807541,0.100705445,0.00029227458,0.19742486,0.009742742,0.03803299,0.18454464,156.01639344262296,8.410935635287915,8.410935635287915,1.2089818684804825,1.0
530000,0.32695708,2.8660815,0.83833355,0.26093838,0.09219119,0.00029211905,0.19737302,0.009737564,0.040959492,0.19924024,180.24137931034483,8.242689935297802,8.242689935297802,1.5431684502239884,1.0
540000,0.34905717,3.1096678,0.851521,0.34870973,0.09150234,0.000291972,0.19732398,0.009732667,0.03989275,0.2239323,143.24285714285713,8.287417382494148,8.287417382494148,1.1971573415079286,1.0
550000,0.3511011,2.961011,0.83139503,0.3040954,0.09818244,0.0002918233,0.19727442,0.009727714,0.040066294,0.20144899,150.47692307692307,7.955656517413445,7.955656517413445,1.270376133150421,1.0
560000,0.35069466,2.9850435,0.8404766,0.32390413,0.0898912,0.00029167513,0.19722503,0.00972278,0.039146975,0.2016707,143.4375,7.985387873628105,7.985387873628105,1.1798998336092783,1.0
570000,0.35351872,3.0638907,0.8304495,0.37105715,0.09891382,0.00029152574,0.19717525,0.009717806,0.040342916,0.21767631,158.26470588235293,8.368224140506848,8.368224140506848,1.3260194320620886,1.0
580000,0.37132293,2.9851778,0.8576,0.3550492,0.091332085,0.00029137268,0.19712421,0.009712709,0.039699167,0.2133151,165.2258064516129,8.230406595775705,8.230406595775705,1.348407780385164,1.0
590000,0.33791575,3.081591,0.87629324,0.35310256,0.091513544,0.00029122186,0.19707395,0.0097076865,0.04016718,0.20463578,134.0441176470588,7.7733744662122,7.7733744662122,1.1322660326292473,1.0
600000,0.29207024,2.8287082,0.84514487,0.3713122,0.1075802,0.00029107643,0.19702548,0.009702844,0.035705227,0.17758505,164.66129032258064,7.562400109525169,7.562400109525169,1.2615280131689244,1.0
610000,0.30922168,3.1819885,0.8759023,0.38380826,0.09156472,0.00029093152,0.19697718,0.009698018,0.041129418,0.2029496,123.82278481012658,7.841590007484148,7.841590007484148,1.055073926861905,1.0
