Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
10000,1.3793746,-0.050040606,0.59581643,0.28191656,0.51431626,0.00029982504,0.19994166,0.009994172,1.5178214,0.36140254,0.6214813,0.21001282,499.0,-0.8747708555310965,-0.8747708555310965,21.19270386174321,1.0
20000,1.0937922,-0.14040889,1.7820576,0.06047339,0.53951573,0.00029954384,0.19984795,0.00998481,0.7052493,0.2109532,0.77054095,0.19250363,499.0,-1.000000037252903,-1.000000037252903,13.971552360802889,1.0
30000,1.0570197,-0.16956349,1.778943,0.10465099,0.49639475,0.0002992435,0.19974782,0.0099748075,0.7127931,0.2124117,0.7587494,0.19135103,499.0,-0.9374791816808283,-0.9374791816808283,14.687499888241291,1.0
40000,1.0958436,-0.17176132,2.2751036,0.12717332,0.45503557,0.00029894366,0.19964787,0.009964823,0.7330798,0.22498089,0.7545626,0.1899678,499.0,-0.9677097098000588,-0.9677097098000588,14.047932155670658,1.0
50000,1.111125,-0.18849224,2.4480977,0.17139068,0.42693192,0.000298644,0.199548,0.009954845,0.6885129,0.20862085,0.76511544,0.18752576,499.0,-0.9410980690051528,-0.9410980690051528,14.346676223418292,1.0
60000,1.1314756,-0.1413647,2.6063185,0.17948091,0.42950928,0.00029834406,0.19944799,0.009944855,0.6727921,0.19922084,0.77488697,0.18462572,487.4117647058824,-0.7876458601094782,-0.7876458601094782,13.414196258410811,1.0
70000,1.1453717,-0.15120661,2.8092003,0.14476472,0.39450425,0.00029804383,0.19934794,0.0099348575,0.655321,0.20146666,0.7805273,0.18596525,499.0,-0.8821568730122903,-0.8821568730122903,13.543217480182648,1.0
80000,1.1403795,-0.14684929,3.4366477,0.10940416,0.44394195,0.00029774394,0.19924796,0.009924872,0.7510667,0.25286254,0.7552423,0.18748759,499.0,-0.8062043048201069,-0.8062043048201069,15.389807470383182,1.0
90000,1.1528604,-0.1340039,3.4686882,0.05310311,0.47055978,0.0002974443,0.19914809,0.009914895,0.701895,0.24086489,0.7743536,0.1955808,499.0,-0.9999167039059103,-0.9999167039059103,14.77121121622622,1.0
100000,1.1228397,-0.17066987,3.1900256,0.028390273,0.470043,0.00029714408,0.19904803,0.009904897,0.6083232,0.2059204,0.8119556,0.20594464,499.0,-0.9999167039059103,-0.9999167039059103,13.566826588474214,1.0
