Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
10000,1.5248685,-0.06481056,1.7028772,747.4,21.753134,0.099322245,0.00029991101,0.19997035,0.009997035,1.3172964,0.3727719,0.63782674,0.2656996,-0.6972799524664879,-0.6972799524664879,231.38548498153688,1.0
20000,1.346193,-0.08775899,8.781002,627.3,28.986101,0.09987464,0.00029976966,0.1999232,0.009992329,1.0040957,0.34489626,0.6525841,0.24131505,-0.45543525236494403,-0.45543525236494403,337.413276868708,1.0
30000,1.1948345,0.054207478,13.839588,218.0909090909091,21.759096,0.10301577,0.0002996208,0.1998736,0.009987372,1.0286775,0.35527653,0.635188,0.19406918,0.7284727394580841,0.7284727394580841,116.51562709429048,1.0
40000,0.7762535,0.209714,18.729668,227.0,19.89501,0.09879339,0.00029946945,0.19982316,0.009982332,0.920481,0.30730546,0.6791921,0.13647668,0.6574136530133811,0.6574136530133811,112.64810969748281,1.0
50000,0.64274365,0.26179734,23.81841,291.1212121212121,10.635772,0.10217806,0.00029932137,0.1997738,0.009977401,0.7618588,0.24926175,0.7378649,0.09470518,0.6155818335034631,0.6155818335034631,123.92723004023235,1.0
60000,0.58545226,0.19102016,25.37034,334.4848484848485,13.229307,0.11997824,0.00029917274,0.19972426,0.00997245,0.65931034,0.20452088,0.7796685,0.07749503,0.5084709847165693,0.5084709847165693,110.0006523055415,1.0
70000,0.49880618,0.20109062,29.320755,327.0416666666667,16.734245,0.10175983,0.00029902466,0.19967489,0.00996752,0.6308259,0.20006947,0.7904474,0.0624527,0.5367461689389669,0.5367461689389669,129.96340407775,1.0
80000,0.5481112,0.23560104,31.37255,358.48387096774195,8.784075,0.09266034,0.00029887597,0.19962531,0.00996257,0.56896293,0.1745179,0.81416184,0.059501894,0.4770000175602974,0.4770000175602974,119.2127429285357,1.0
90000,0.5507858,0.28180933,32.876404,246.67567567567568,12.276375,0.09373871,0.00029872966,0.19957654,0.009957697,0.56002647,0.17397164,0.81858665,0.060594518,0.6692315928245846,0.6692315928245846,87.41574948712399,1.0
100000,0.6180127,0.26568744,32.949657,257.64102564102564,8.120571,0.10354607,0.00029858187,0.1995273,0.009952775,0.5343572,0.16324727,0.82495046,0.07223006,0.665164117820752,0.665164117820752,82.57954040857462,1.0
110000,0.6456417,0.15235491,33.01556,419.30434782608694,14.0768,0.1092281,0.00029842753,0.19947585,0.009947635,0.45980412,0.13544829,0.84633,0.009129198640584946,0.3228087211432664,0.3228087211432664,115.81509633686231,1.0
120000,0.8428981,0.25369594,31.29351,319.7352941176471,8.501712,0.10161704,0.00029827456,0.19942485,0.009942542,0.35572657,0.108396165,0.88071215,0.0,0.5280294295619515,0.5280294295619515,71.56311289966106,1.0
130000,0.9109447,0.2790457,28.304153,294.4848484848485,4.935926,0.104792275,0.00029813006,0.19937672,0.009937732,0.32145464,0.104557745,0.89671177,0.0,0.5859757725036505,0.5859757725036505,56.17593525485559,1.0
140000,0.9651601,0.0839796,25.934381,552.3125,7.3440933,0.10464694,0.00029797605,0.19932535,0.009932602,0.28277284,0.090931274,0.91103333,0.0,0.08700003381818533,0.08700003381818533,102.48017721343786,1.0
150000,1.1584532,-0.020625642,24.116669,569.9444444444445,6.0330563,0.10716222,0.00029782127,0.19927377,0.009927448,0.287283,0.09421668,0.91191745,0.0,-0.0730777457356453,-0.0730777457356453,104.085962028967,1.0
160000,1.1844766,-0.11076395,21.691122,797.5384615384615,3.271229,0.10279183,0.0002976727,0.19922423,0.009922501,0.24516302,0.08202995,0.92604977,0.0,-0.88075379969982,-0.88075379969982,101.50472578635582,1.0
170000,1.108292,-0.07508298,19.728027,656.6428571428571,2.7045343,0.09778288,0.00029752537,0.19917513,0.009917596,0.2751904,0.09234831,0.9159546,0.0,-0.43134281943951336,-0.43134281943951336,103.12801567145756,1.0
180000,1.1277965,-0.035588987,18.42019,726.6,3.113186,0.099228345,0.00029737715,0.19912572,0.0099126585,0.24513835,0.0832838,0.9245155,0.0,-0.4723999574780464,-0.4723999574780464,111.84172696669897,1.0
190000,1.0753013,0.00035330688,17.364843,550.5,10.376069,0.10592001,0.00029723003,0.19907667,0.009907759,0.23065265,0.07721938,0.93050796,0.0,0.06136669839421908,0.06136669839421908,91.06725927193959,1.0
200000,0.9212025,0.11733175,16.294683,393.0,3.8082032,0.10902698,0.0002970769,0.19902563,0.009902659,0.21008244,0.06668095,0.93356055,0.0,0.3707461772629848,0.3707461772629848,58.7060113575023,1.0
210000,1.113154,0.042402774,16.19481,538.5,16.259789,0.10374304,0.00029692135,0.19897379,0.00989748,0.24272159,0.07636818,0.9275461,0.0,0.006337527651339769,0.006337527651339769,116.03248320799321,1.0
220000,1.1806378,-0.04977243,14.951289,788.5714285714286,6.7564554,0.100220196,0.00029677345,0.1989245,0.009892557,0.19252425,0.06291332,0.9406201,0.0,-0.8755856645958764,-0.8755856645958764,98.26318654843739,1.0
230000,1.0016888,-0.10760995,13.494549,797.1666666666666,3.157302,0.10471143,0.00029662458,0.19887486,0.0098875975,0.18046933,0.061726842,0.94516635,0.0,-0.8738999534398317,-0.8738999534398317,99.81378048161666,1.0
240000,1.1120237,-0.11909552,12.583162,832.5,3.3844182,0.10311923,0.00029647496,0.198825,0.009882616,0.15975942,0.053518526,0.949675,0.0,-0.9996666169414917,-0.9996666169414917,85.95489880566795,1.0
250000,1.0194495,-0.15313089,11.962607,832.1666666666666,3.6886258,0.10557692,0.00029632685,0.1987756,0.0098776845,0.16360366,0.054162275,0.95307565,0.0,-0.9993332841744026,-0.9993332841744026,90.15709987282753,1.0
260000,1.0891416,-0.1460538,10.825682,832.5,2.0952356,0.09473177,0.00029617583,0.19872527,0.009872654,0.15464105,0.053115416,0.9563615,0.0,-0.9996666169414917,-0.9996666169414917,79.15585547934704,1.0
270000,1.0705286,-0.10757598,10.351115,829.5833333333334,1.614933,0.10248536,0.00029602612,0.19867535,0.009867669,0.13954496,0.047184605,0.9598678,0.0,-0.9127999525517225,-0.9127999525517225,87.11980685840051,1.0
280000,1.007617,-0.080499955,10.352875,696.7142857142857,17.964949,0.10443438,0.0002958778,0.19862595,0.00986273,0.18259953,0.055017818,0.94905686,0.0,-0.5509285272232124,-0.5509285272232124,97.39497819542885,1.0
290000,0.8445322,-0.031816803,10.445276,693.3333333333334,1.8267953,0.097744495,0.0002957273,0.19857576,0.009857718,0.14251375,0.046359427,0.9591852,0.0,-0.4991466244061788,-0.4991466244061788,82.84219954800986,1.0
300000,0.8700478,-0.066944316,10.017511,728.6428571428571,3.7941759,0.104516305,0.00029557783,0.19852594,0.009852741,0.12733322,0.040685024,0.9645865,0.0,-0.5892142429947853,-0.5892142429947853,66.01478419106986,1.0
310000,1.0828665,-0.0051957946,9.187233,597.1111111111111,1.5390186,0.10136491,0.00029542964,0.19847654,0.009847805,0.12204499,0.04200743,0.96592426,0.0,-0.16125551983714104,-0.16125551983714104,50.50631283306413,1.0
320000,1.0341741,0.08853822,8.566345,399.56,2.722076,0.101455495,0.00029528083,0.19842696,0.009842852,0.113386154,0.035484627,0.9672364,0.0,0.36038402140140535,0.36038402140140535,27.535349405626768,1.0
330000,1.0370599,0.13181089,7.7116823,377.0740740740741,1.0084198,0.10468002,0.00029512597,0.19837531,0.009837693,0.11664305,0.037017312,0.96377647,0.0,0.4363703912606946,0.4363703912606946,30.258170466145707,1.0
340000,1.1257066,0.21580635,7.222608,270.92105263157896,0.9106546,0.096928194,0.00029496988,0.1983233,0.009832497,0.11999301,0.04159776,0.96780896,0.0,0.6150865055419303,0.6150865055419303,20.015828758150942,1.0
350000,1.1565788,0.19185922,6.6781673,309.9310344827586,0.97691536,0.10383712,0.00029482372,0.19827455,0.00982763,0.12070927,0.040754713,0.9663546,0.0,0.5366333449880282,0.5366333449880282,20.203032892445723,1.0
360000,1.1729236,0.15414616,6.667716,359.0,0.7949629,0.10341427,0.00029467547,0.19822514,0.009822692,0.116666354,0.03910262,0.9664132,0.0,0.43115864745501814,0.43115864745501814,27.277729916161505,1.0
370000,1.1321573,0.22442594,6.130529,266.1081081081081,1.0732545,0.109557614,0.00029452913,0.19817637,0.009817819,0.10768492,0.03533535,0.96818054,0.0,0.6265729883232632,0.6265729883232632,17.182497900080037,1.0
380000,1.048856,0.37029946,5.6146026,237.13953488372093,1.7206538,0.09711675,0.00029437602,0.19812533,0.009812721,0.092951536,0.03277327,0.97600937,0.0,0.7129143032999266,0.7129143032999266,16.47275718266056,1.0
390000,1.1486524,0.3003084,5.305607,362.3448275862069,0.6995688,0.10191807,0.00029422354,0.19807452,0.009807643,0.08845412,0.030825082,0.9753167,0.0,0.5381481694402518,0.5381481694402518,20.020247596833443,1.0
400000,1.127238,0.107125185,5.031947,453.1904761904762,0.6531947,0.102226116,0.00029407654,0.19802552,0.009802748,0.09223957,0.03037264,0.97328216,0.0,0.11123480906952983,0.11123480906952983,24.354905042355707,1.0
410000,1.0895138,0.12566756,4.945648,457.27777777777777,1.0865377,0.10337015,0.00029393224,0.1979774,0.009797943,0.09826961,0.033283427,0.9736272,0.0,0.20095793079388768,0.20095793079388768,29.74734034350044,1.0
420000,1.141692,0.2975368,5.632459,348.4166666666667,2.2285867,0.10228155,0.00029377555,0.19792518,0.009792726,0.086959705,0.028601786,0.9757689,0.0,0.44725002265638775,0.44725002265638775,24.167138606109397,1.0
