Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
10000,1.4852792,-0.033825792,1.2868191,15.294981,0.10948892,0.0002999108,0.19997029,0.00999703,1.2420374,0.30536044,0.7284865,0.21518202,833.0,-0.9999999478459358,-0.9999999478459358,183.55833315849304,1.0
20000,1.0866356,0.011788008,5.922598,20.01589,0.10877211,0.0002997715,0.19992383,0.009992388,0.82550853,0.28013825,0.73027205,0.1933362,741.2352941176471,0.40441178486627694,0.40441178486627694,285.7586867949542,1.0
30000,0.82416385,0.13086598,9.229553,19.591024,0.10081635,0.0002996238,0.1998746,0.009987472,0.84243053,0.28556368,0.7247939,0.17973447,541.4736842105264,2.082662370521575,2.082662370521575,231.0807757973671,1.0
40000,0.7623464,0.26290867,11.902126,19.881178,0.10755686,0.00029946305,0.19982103,0.009982119,0.7968398,0.27390525,0.7440413,0.15225427,636.1333333333333,2.508312395773828,2.508312395773828,253.51560977101326,1.0
50000,0.6868545,0.30333367,14.126973,19.961166,0.108198136,0.00029931997,0.19977331,0.009977355,0.7372615,0.24950838,0.76310426,0.11985564,612.4117647058823,2.5189599762360255,2.5189599762360255,268.35437730153404,1.0
60000,0.58070725,0.38422644,16.420925,30.11131,0.10172592,0.00029917926,0.19972642,0.009972669,0.72054267,0.24213114,0.7681197,0.09039794,655.3846153846154,1.2684874152764678,1.2684874152764678,286.2234555184841,1.0
70000,0.4528877,0.33559343,18.85479,25.830694,0.1040772,0.00029902585,0.19967526,0.00996756,0.6855305,0.22995624,0.7856449,0.074513346,624.8235294117648,1.516324897762388,1.516324897762388,299.4052442908287,1.0
80000,0.32778662,0.1807362,19.1553,31.87957,0.10490976,0.0002988681,0.19962269,0.0099623045,0.49660504,0.15612741,0.8490274,0.069145314,653.375,0.7616800054907799,0.7616800054907799,259.0044433275859,1.0
90000,0.36067587,0.246727,22.944647,27.75656,0.11205557,0.00029872815,0.19957602,0.009957649,0.58013177,0.19098897,0.8211822,0.07842405,684.9230769230769,0.6102428670440402,0.6102428670440402,311.89855810574124,1.0
100000,0.4970488,0.2966061,24.314178,20.025984,0.112252414,0.00029857198,0.19952399,0.009952446,0.47246742,0.13848242,0.85071975,0.1116969,653.5,1.0187763834700865,1.0187763834700865,245.83903299359713,1.0
110000,0.31055614,0.3502806,27.560167,43.606113,0.10183851,0.00029840562,0.19946854,0.009946907,0.5574745,0.17660587,0.82569027,0.03110319972038269,631.8571428571429,1.369799906015396,1.369799906015396,228.12185107072193,1.0
120000,0.28017858,0.3108637,34.84891,48.91471,0.10122346,0.00029827037,0.19942345,0.009942402,0.44485128,0.13558604,0.86613303,0.0,698.0769230769231,0.5551866253217062,0.5551866253217062,350.96102844874065,1.0
130000,0.24163933,0.08326006,39.38408,78.282196,0.10270258,0.00029812852,0.19937618,0.0099376775,0.3548527,0.106958695,0.90221786,0.0,832.0833333333334,-0.8174181512810967,-0.8174181512810967,286.9650768468326,1.0
140000,0.44894385,0.04212269,42.592487,73.181786,0.09628496,0.000297979,0.19932632,0.009932699,0.41242957,0.12731074,0.8789951,0.0,739.0769230769231,0.24801422229834966,0.24801422229834966,467.50373885035515,1.0
150000,0.18677677,0.16755924,45.23217,68.50745,0.09890951,0.00029782462,0.19927487,0.00992756,0.34291694,0.10140453,0.89936846,0.0,803.5384615384615,0.7283383796994503,0.7283383796994503,385.29424465161105,1.0
160000,0.3808402,0.526287,59.237328,43.346714,0.10234528,0.00029767473,0.1992249,0.009922568,0.5093181,0.17131665,0.8439397,0.0,524.8095238095239,2.1803141871378537,2.1803141871378537,312.23784897968704,1.0
170000,0.6119643,0.32490054,51.93928,82.24704,0.10134898,0.00029752433,0.19917479,0.009917559,0.47714496,0.15557255,0.85187817,0.0,631.3571428571429,1.587849962214629,1.587849962214629,377.9934646685918,1.0
180000,0.6851105,0.4975007,56.116493,73.6152,0.1012244,0.00029737075,0.19912356,0.009912446,0.5635484,0.19040519,0.82188874,0.0,414.2692307692308,2.3665919119119643,2.3665919119119643,255.760824765563,1.0
